#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wonder_con_wall;Theodosian Walls;Mur théodosien;Theodosianische Mauern;;Murallas Teodosianas;;;;;;;;;x
wonder_palace+aachen_construction_desc;A regal symbol of the Prestigious lineage of its builder, it can also be equipped with a number of facilities that help the builder with their love life or court intrigue.;Symbole royal de la prestigieuse lignée de son constructeur, il peut également être équipé de nombreux équipements qui l’aident dans sa vie amoureuse ou ses intrigues de cour.;Als Symbol der königlichen und prestigeträchtigen Linie seines Erbauers kann es mit einer Reihe von Einrichtungen ausgestattet werden, die dem Erbauer bei seinem Liebesleben oder seiner Intrige helfen.;;Un símbolo real del prestigioso linaje de su constructor, también puede ser equipado con una serie de instalaciones que ayuden al constructor con su vida amorosa o la intriga cortesana.;;;;;;;;;x
String_brings_comfort_to_pet_owners;[This.GetName] bring[This.GetSingularS] comfort to bereaved pet owners from all layers of society;[This.GetName] apporte du réconfort aux propriétaires d'animaux de compagnie endeuillés de toutes les couches de la société;[This.GetName] spendet hinterbliebenden Tierbesitzern aller Gesellschaftsschichten Trost;;[This.GetName] trae consuelo a afligidos dueños de mascotas en todas las capas de la sociedad;;;;;;;;;x
String_lends_moral_support;[This.GetName] lend[This.GetSingularS] moral support and a watching eye to the surrounding area;[This.GetName] apporte un soutien moral et un œil attentif aux environs;[This.GetName] bietet der Umgebung moralische Unterstützung und ein wachsames Auge;;[This.GetName] presta apoyo moral y mirada vigilante al área que le rodea;;;;;;;;;x
String_improves_accessibility;[This.GetName] improve[This.GetSingularS] accessibility in the area;[This.GetName] améliore l'accessibilité dans la région;[This.GetName] fördert die Zugänglichkeit der Region;;[This.GetName] mejora el acceso al área;;;;;;;;;x
wonder_temple_hindu;Great [hindu.GetName] Temple;Grand temple [hindu.GetName]e;Großer [hindu.GetName]-Tempel;;Gran templo [hindu.GetName];;;;;;;;;x
wonder_temple_buddhist;Great [buddhist.GetName] Temple;Grand temple [buddhist.GetName]e;Großer [buddhist.GetName]-Tempel;;Gran templo [buddhist.GetName];;;;;;;;;x
wonder_temple_jain;Great [jain.GetName] Temple;Grand temple [jain.GetName]e;Großer [jain.GetName]-Tempel;;Gran templo [jain.GetName];;;;;;;;;x
wonder_temple_jain_desc;The temple is a holy building, a place of devotion and reflection.;Le temple est un édifice sacré, un lieu de dévotion et de réflexion.;Der Tempel ist ein heiliges Gebäude und ein Ort der Andacht und Besinnung.;;El templo es un edificio sagrado, un lugar de devoción y reflexión.;;;;;;;;;x
wonder_temple_jain_construction_desc;A testament to the §YPurity§! and §YPrestige§! of its builder, it can also influence the opinion of some of your subjects.;Témoignage de la §Ypureté§! et du §Yprestige§! de son constructeur, elle peut influencer l'opinion de certains de vos sujets.;Dies ist ein Zeugnis für die §YReinheit§! und §YPrestige§! seines Erbauers. Es trägt dazu bei, die Meinung einiger Eurer Untertanen beeinflussen.;;Un legado de la §Ypureza§! y el §Yprestigio§! de su constructor, también puede influir en la opinión de algunos de tus súbditos.;;;;;;;;;x
upgrade_manastambha;Manastambha;Manastambha;Manastambha;;Manastambha;;;;;;;;;x
upgrade_manastambha_desc;A column of honor standing in front of the temple, the pillar is topped with four stone figures of the god of the temple, each facing one of the four cardinal directions.;Une colonne d'honneur se tenant devant le temple, le pilier est surmonté de quatre figures en pierre du dieu du temple, chacune faisant face à l'une des quatre directions cardinales.;Die vor dem Tempel stehende Ehrensäule ist mit vier Steinfiguren des Tempelgottes gekrönt, die jeweils einer der vier Hauptrichtungen zugewandt sind.;;Una columna de honor de pie frente al templo, el pilar está coronado con cuatro figuras de piedra del dios del templo, cada una frente a una de las cuatro direcciones cardinales.;;;;;;;;;x
upgrade_shikhara_jain;Shikhara;Shikhara;Shikhara;;Shikhara;;;;;;;;;x
upgrade_shikhara_jain_desc;The main temple tower.;La principale tour du temple.;Der Hauptturm des Tempels.;;La principal torre del templo;;;;;;;;;x
upgrade_mandapa_jain;Maha Mandapa;Maha Mandapa;Maha Mandapa;;Maha Mandapa;;;;;;;;;x
upgrade_mandapa_jain_desc;A great pillared hall serving as the waiting room for pilgrims and devotees.;Une grande salle à piliers servant de salle d'attente pour les pèlerins et les fidèles.;Ein großer Säulensaal, der als Wartesaal für Pilger und Fromme dient.;;Una gran sala con pilares que funciona como sala de espera para peregrinos y devotos;;;;;;;;;x
upgrade_temple_complex_jain;Temple Complex;Ensemble de temples;Tempelanlage;;Complejo de templos;;;;;;;;;x
upgrade_temple_complex_jain_desc;A complex of smaller temples, surrounding the main temple.;Des petits temples entourant le temple principal.;Eine Anlage des Tempels, die den Haupttempel umgibt.;;Un complejo de templos menores que rodean al templo principal.;;;;;;;;;x
upgrade_school_jain;Calai;Calai;Calai;;Calai;;;;;;;;;x
upgrade_school_jain_desc;A school, that also provides lodging for students and scholars.;Une école, qui fournit également un hébergement pour les étudiants et les érudits.;Eine Schule, die auch Unterkunft für Studenten und Gelehrte bietet.;;Una escuela que también proporciona alojamiento a estudiantes y eruditos.;;;;;;;;;x
upgrade_hospital_jain;Hospital;Hôpital;Hospitz;;Hospital;;;;;;;;;x
upgrade_hospital_jain_desc;A hospital attached to the temple.;Un hôpital rattaché au temple.;Ein an den Tempel angeschlossenes Hospitz.;;Un hospital anexo al templo;;;;;;;;;x
wonder_fire_temple;Great Fire Temple;Grand temple du feu;Großer Feuertempel;;Gran templo del fuego;;;;;;;;;x
wonder_fire_temple_desc;This building is a testament to the piousness of its builder.;Cet édifice est un témoignage de la piété de son bâtisseur.;Dieses Gebäude ist ein Zeugnis für die Frömmigkeit ihres Erbauers.;;Este edificio es un legado de la piedad de su constructor.;;;;;;;;;x
wonder_fire_temple_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, the temple can improve your subjects' opinion of you, and lower revolt risk.;Témoignage de la §Ypiété§! et du §Yprestige§! de son constructeur, ce temple peut améliorer l'opinion de vos sujets envers vous et réduire les risques de révolte.;Dies ist ein Zeugnis für die §YPietät§! und §YPrestige§! seines Erbauers. Der Tempel kann die Meinung Eurer Untertanen über Euch verbessern und reduziert das Revoltenrisiko.;;Un legado de la §Ypiedad§! y el §Yprestigio§! de su constructor, el templo puede ayudar a mejorar la opinión de tus súbditos de ti y reducir el riesgo de revueltas.;;;;;;;;;x
upgrade_fire_temple_guards;[FromFrom.GetWonderTypeShortCap] Guards;Gardiens [FromFrom.GetWonderTypeShort];[FromFrom.GetWonderTypeShortCap]-Wache;;Guardias de [FromFrom.GetWonderTypeShortCap] ;;;;;;;;;x
upgrade_fire_temple_guards_desc;The [FromFrom.GetWonderTypeShortCap] guards are especially dedicated to the protection of the [FromFrom.GetWonderTypeShortCap].;Les gardes du monument sont spécialement dédiés à sa protection.;Die [FromFrom.GetWonderTypeShortCap]-Wachen dienen speziell dem Schutz des [FromFrom.GetWonderTypeShortCap].;;Los guardias de [FromFrom.GetWonderTypeShortCap] están especialmente dedicados a la protección del [FromFrom.GetWonderTypeShortCap].;;;;;;;;;x
upgrade_fire_temple_precinct;Temple Precinct;Enceinte du temple;Tempelbezirk;;Precinto del templo;;;;;;;;;x
upgrade_fire_temple_precinct_desc;An area surrounding the [FromFrom.GetWonderTypeShortCap] has been dedicated to the [FromFrom.GetWonderTypeShortCap], and contains smaller buildings and open spaces specifically designed to invite a larger number of worshipers.;Une zone entourant le monument abrite des bâtiments plus petits et des espaces ouverts spécialement conçus pour inviter un plus grand nombre de fidèles.;Ein Bereich rund um das [FromFrom.GetWonderTypeShortCap] wurde dem [FromFrom.GetWonderTypeShortCap] gewidmet. Er enthält kleinere Gebäude und freie Flächen, die speziell für eine größere Anzahl von Anbetern konzipiert wurden.;;Un área que rodea al [FromFrom.GetWonderTypeShortCap] dedicada al/a la [FromFrom.GetWonderTypeShortCap] con edificios más pequeños y espacios abiertos diseñados especialmente para atraer un número mayor de fieles.;;;;;;;;;x
upgrade_atashgah;Atashgah;Atashgah;Atashgah;;Atashgah;;;;;;;;;x
upgrade_atashgah_desc;A sacred and reserved space inside the temple where only the high ranking priests can enter.;Un espace sacré à l'intérieur du temple où seuls les prêtres de haut rang peuvent entrer.;Ein heiliger und nicht frei zugänglicher Raum innerhalb des Tempels, in den nur die hochrangigen Priester eintreten dürfen.;;Un espacio sagrado y reservado dentro del templo donde solo pueden entrar los sacerdotes de alto rango.;;;;;;;;;x
upgrade_relic_ayazan;Relic Ayazan;Relique ayazan;Reliquien-Ayazan;;Ayazan de reliquias;;;;;;;;;x
upgrade_relic_ayazan_desc;A place for storing artifacts.;Un endroit pour conserver des artefacts.;Ein Ort, um Artefakte aufzubewahren.;;Un lugar donde almacenar artefactos.;;;;;;;;;x
upgrade_custodian_of_fire_temple;Custodian of the Temple;Gardien du temple;Tempelverwalter;;Custodio del templo;;;;;;;;;x
upgrade_custodian_of_fire_temple_desc;As the authority on all daily business and rituals the Custodian of the Temple is heeded by all.;Ayant autorité sur les activités quotidiennes et les rituels, le gardien du temple est pris en compte par tous.;Als Autorität für alle täglichen Angelegenheiten und Rituale wird der Tempelverwalter von allen geschätzt.;;Como autoridad en todos los asuntos y rituales diarios, el Custodio del templo es escuchado por todos.;;;;;;;;x
