EVTDESC_REP_158;The new [Root.GetOnlyDynastyName] flagship was launched today, and you decided to ride it on its maiden voyage. In the distance, you spot [From.GetTitledFirstName] riding on a galley roughly half the size of your new flagship, and you decide to show off. As your flagship sweeps past dangerously close to the galley, it sends a large wave sweeping over the deck that knocks [From.GetTitledFirstName] off [From.GetHerHis] feet.\n\nAs [From.GetSheHe] stands up, drenched from top to bottom, you cackle at [From.GetHerHim] from the deck of your ship and stand by the railing looking down at [From.GetHerHim] with a smug grin on your face. "Well, well, if it isn't [From.GetTitledFirstName]! How are you doing down there? You should take better care when sailing in waters trafficked by larger vessels. I would hate for an accident to occur...";;;;;;;;;x
EVTNAME_REP_159;A Flagship Saved;;;;;;;;;x
EVTDESC_REP_159;The new [Root.GetOnlyDynastyName] flagship is almost ready, though there was a minor hitch that delayed construction. Apparently, some men were sent by [From.GetTitledFirstName] to sabotage it to embarass you on the day of its unveiling. Thankfully, they were caught in time and are now scheduled to be executed in front of the public. As a way to get back at [From.GetTitledFirstName], you make sure he is invited and will attend the execution. On the day of the execution, you spot [From.GetHerHim] in the crowd as you take to the stage to address the public.\n\n"My friends, take a long, hard look at these men," you begin. "They are enemies of the Republic and together they conspired to sabotage the construction of the new [Root.GetOnlyDynastyName] flagship. Fortunately, they were caught in the act and it has been revealed that they were not acting alone..." You give [From.GetTitledFirstName] a long glance and you think [From.GetSheHe] realizes where this is going.;;;;;;;;;x
EVTOPTA_REP_159;Not alone at all...;;;;;;;;;x
EVTDESC_REP_164;You are eating supper when the doors to your palace's dining room suddenly fly open and [romeo.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is he?" [romeo.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my son?!" He slams a piece of paper on the table. "I expressly forbade him from having anything to do with that harlot daughter of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your daughter's room with [romeo.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...;Vous dégustez votre dîner quand tout à coup les portes de la salle à manger du palais s'ouvrent et [romeo.Father.Get_le_TitledFirstName] entre en coup de vent, poursuivi par vos gardes. « Où est-il ? », vocifère-t-il, frappant la table de son poing. « Bon Dieu, [Root.GetFirstName] ! Où est mon fils ?! » Il jette un bout de papier sur la table. « Je lui avais formellement interdit d'avoir une quelconque histoire avec votre traînée de fille, mais j'ai trouvé ce mot aujourd'hui ! »\nIl lit d'une sombre voix : « Père, comme vous rejetez l'amour de ma vie... (etc., etc.)...mon amour et moi avons décidé d'en finir. Adieu. » Pris de panique, vous repoussez la table et vous précipitez à l'étage dans la chambre de votre fille, [romeo.Father.GetFirstName] vous suit de près. Là, enlacés, les deux amants gisent morts sur le sol, un flacon de poison vide près d'eux...;Ihr esst gerade Euer Abendessen, als die Türen Eures Esszimmers plötzlich auffliegen und [romeo.Father.GetTitledFirstName], gefolgt von Euren Wachen, reinstürmt. "Wo ist er?", verlangt [romeo.Father.GetFirstName] zu wissen und donnert seine Faust auf den Tisch. "Verdammt, [Root.GetFirstName]! Wo ist mein Sohn?!" Er wirft einen Fetzen Papier auf den Tisch. "Ich habe ihm ausdrücklich verboten, sich mit dieser Hure, die Eure Tochter ist, einzulassen, doch heute fand ich diese Notiz!"\n\nMit düsterer Stimme liest er vor: "Vater, da Ihr mir die Liebe meines Lebens verweigert und da ..." usw., usf., "... haben die Liebe meines Lebens und ich beschlossen, allem ein Ende zu setzen." Mit einem Keuchen schiebt Ihr den Tisch zur Seite und stürzt die Treppen hoch und zum Raum Eurer Tochter, mit [romeo.Father.GetFirstName] dicht auf den Fersen. Eng umschlungen liegen dort die beiden Liebenden tot auf dem Boden, neben sich ein leeres Giftfläschchen ...;;"Estás cenando cuando de pronto las puertas del comedor de palacio se abren de par en par e irrumpe [romeo.Father.GetTitledFirstName], seguido de tus guardias. ""¿Dónde está?"" pregunta [romeo.Father.GetFirstName], dando un puñetazo en la mesa. ""¡Maldita sea, [Root.GetFirstName]! ¿Dónde está mi hijo?"" Estampa un trozo de papel sobre la mesa. ""Le prohibí expresamente toda relación con la ramera de tu hija, ¡pero hoy he hallado esta nota!""\n\nLee con voz sombría: ""'Padre, dado que ibais a negarme el amor de mi vida y que...' etc, etc, '...mi amor y yo hemos decidido acabar con todo. Adiós.'"" Con un grito ahogado, apartas la mesa y subes las escaleras corriendo hasta la habitación de tu hija, seguido de [romeo.Father.GetFirstName]. En ella, abrazados en el suelo, yacen muertos los dos amantes junto a una botella de veneno vacía...";;;;;;;;;x
EVTDESC_REP_165;You are eating supper when the doors to your palace's dining room suddenly fly open and [julia.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is she?" [julia.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my daughter?!" He slams a piece of paper on the table. "I expressly forbade her from having anything to do with that no-good son of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your son's room with [julia.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...;Vous dégustez votre dîner quand tout à coup les portes de la salle à manger du palais s'ouvrent et [julia.Father.Get_le_TitledFirstName] entre en coup de vent, poursuivi par vos gardes. « Où est-elle ? », vocifère-t-il, frappant la table de son poing. « Bon Dieu, [Root.GetFirstName] ! Où est ma fille ?! » Il jette un bout de papier sur la table. « Je lui avais formellement interdit d'avoir une quelconque histoire avec votre vaurien de fils, mais j'ai trouvé cette note aujourd'hui ! »\nIl lit d'une sombre voix : « Père, comme vous rejetez l'amour de ma vie... (etc., etc.)...mon amour et moi avons décidé d'en finir. Adieu. » Pris de panique, vous repoussez la table et vous précipitez à l'étage dans la chambre de votre fils, [julia.Father.GetFirstName] vous suit de près. Là, enlacés, les deux amants gisent morts sur le sol, un flacon de poison vide près d'eux...;Ihr esst gerade Euer Abendessen, als die Türen Eures Esszimmers plötzlich auffliegen und [julia.Father.GetTitledFirstName], gefolgt von Euren Wachen, reinstürmt. "Wo ist sie?", verlangt [julia.Father.GetFirstName] zu wissen und donnert seine Faust auf den Tisch. "Verdammt, [Root.GetFirstName]! Wo ist meine Tochter?!" Er wirft einen Fetzen Papier auf den Tisch. "Ich habe ihr ausdrücklich verboten, sich mit Eurem nutzlosen Sohn einzulassen, doch heute fand ich diese Notiz!"\n\nMit düsterer Stimme liest er vor: "Vater, da Ihr mir die Liebe meines Lebens verweigert und da..." usw., usf., "...haben die Liebe meines Lebens und ich beschlossen, allem ein Ende zu setzen." Mit einem Keuchen schiebt Ihr den Tisch zur Seite und stürzt die Treppen hoch und zum Raum Eures Sohnes, mit [julia.Father.GetFirstName] dicht auf den Fersen. Eng umschlungen liegen dort die beiden Liebenden tot auf dem Boden, neben sich ein leeres Giftfläschchen ...;;"Estás cenando cuando de pronto las puertas del comedor de palacio se abren de par en par e irrumpe [julia.Father.GetTitledFirstName], seguido de tus guardias. ""¿Dónde está?"" pregunta [julia.Father.GetFirstName], dando un puñetazo en la mesa. ""¡Maldita sea, [Root.GetFirstName]! ¿Dónde está mi hija?"" Estampa un trozo de papel sobre la mesa. ""Le prohibí expresamente toda relación con el impresentable de tu hijo, ¡pero hoy he hallado esta nota!""\n\nLee con voz sombría: ""'Padre, dado que ibais a negarme el amor de mi vida y que...' etc, etc, '...mi amor y yo hemos decidido acabar con todo. Adiós.'"" Con un grito ahogado, apartas la mesa y subes las escaleras corriendo hasta la habitación de tu hijo, seguido de [julia.Father.GetFirstName]. En ella, abrazados en el suelo, yacen muertos los dos amantes junto a una botella de veneno vacía...";;;;;;;;;x
EVTDESC_REP_173;Tragedy has befallen the [Root.GetOnlyDynastyName] and [From.GetOnlyDynastyName] households today. [romeo.GetTitledFirstName] and [julia.GetTitledFirstName], frustrated by the forbidden nature of their love, decided to end their lives in each others arms: they were found embracing each other on the floor of one of their rooms, lying dead next to an empty bottle of poison...\n\n[From.GetOnlyDynastyName] is as devastated as you are and has extended an offer to bury the hatchet so that [romeo.GetFirstName]'s and [julia.GetFirstName]'s deaths wouldn't be in vain.;;;;;;;;;x
EVTOPTB_REP_173;You killed my child! How could I forgive you?!;;;;;;;;;x
EVTDESC_REP_174;Tragedy has befallen the [Root.GetOnlyDynastyName] and [From.GetOnlyDynastyName] households today. [romeo.GetTitledFirstName] and [julia.GetTitledFirstName], frustrated by the forbidden nature of their love, decided to end their lives in each others arms: they were found embracing each other on the floor of one of their rooms, lying dead next to an empty bottle of poison...\n\n[From.GetOnlyDynastyName] is as devastated as you are and has blamed you for both [romeo.GetFirstName]'s and [julia.GetFirstName]'s deaths.;;;;;;;;;x
EVTOPTA_REP_174;Me?! If anything, you are the one to blame!;;;;;;;;;x
