#CODE;ENGLISH;;;;;;;;;;;;;x
#
# DECADENCE MAIN
#
CB_NAME_DECADENCE_UPRISING;Decadence Uprising;;;;Revuelta de decadencia;;;;;;;;;x
#
# DECADENCE MODIFIERS
#
decadence_unrest;Decadence Unrest;;;;Agitación por decadencia;;;;;;;;;x
decadence_unrest_desc;Muslim leaders in the province are growing increasingly agitated at the decadence of their top ruler's dynasty.;;;;Los líderes musulmanes de la provincia están cada vez más agitados por la decadencia de la dinastía de su gobernante.;;;;;;;;;x
negotiated_to_drop_decadence;Tried To Make Me Be Less Decadent;;;;Trató de hacerme ser menos decadente;;;;;;;;;x
opinion_abandoned_dynasty;Abandoned Dynasty;;;;Abandonó la dinastía;;;;;;;;;x
#
# DECADENCE TOOLTIPS
#
CHRONICLE_CADET_BRANCH;[Root.GetTitledName], as a cadet member of his house, has founded the [Root.GetOnlyDynastyName] dynasty.;;;;[Root.GetTitledName], como miembro cadete de su casa, ha fundado la dinastía [Root.GetOnlyDynastyName].;;;;;;;;;x
CHRONICLE_CADET_BRANCH_FORMED;[From.GetTitledName] has founded the [From.GetOnlyDynastyName] dynasty as a cadet branch of the [Root.GetOnlyDynastyName] dynasty.;;;;[From.GetTitledName] ha fundado la dinastía [From.GetOnlyDynastyName] como una rama cadete de la dinastía [Root.GetOnlyDynastyName].;;;;;;;;;x
DECADENCE_REVOLT;[Root.County.GetAdjective] Decadence Revolt;;;;Revuelta por la decadencia [Root.County.GetAdjective];;;;;;;;;x
ESTABLISH_CADET_BRANCH;Establish a new branch of the [Root.GetOnlyDynastyName] dynasty for you and your descendants.\n;;;;Establece una nueva rama de la dinastía [Root.GetOnlyDynastyName] para ti y tus descendientes.\n;;;;;;;;;x
IS_RULER_PIETY_100;§Y[Root.GetBestName]§! is a ruler and you have §Y100.0§! Piety\n;;;;§Y[Root.GetBestName]§! es un gobernante y tienes §Y100.0§! de Piedad\n;;;;;;;;;x
NON_RULER_PIETY_50;§Y[Root.GetBestName]§! is NOT a ruler and you have §Y50.0§! Piety\n;;;;§Y[Root.GetBestName]§! NO es un gobernante y tienes §Y50.0§! Piedad\n;;;;;;;;;x
#
# DECADENCE DECISIONS/EVENTS
#
banish_takfir;Banish Takfir;;;;Desterrar Takfir;;;;;;;;;x
banish_takfir_desc;While §Y[Root.GetBestName]§! is not a true member of your court, as a member of your dynasty and a Takfir you may still banish him from your realm. [Root.GetSheHeCap] will be forced to flee [From.PrimaryTitle.GetName] completely.;;;;Mientras que §Y[Root.GetBestName]§! no es un miembro de tu corte, como miembro de tu dinastía y Takfir, aún puedes desterrarl[Root.GetOA] de tu reino. [Root.GetElEllaCap] se verá obligad[Root.GetOA] a huir del [From.PrimaryTitle.GetName] por completo.;;;;;;;;;x
start_dynasty_decadence;Declare New Dynasty;;;;Declarar nueva dinastía;;;;;;;;;x
start_dynasty_decadence_desc;I am no longer part of a realm governed by the [Root.GetOnlyDynastyName] dynasty. Now it is within my right to establish my own dynasty, in my own name, and establish a legacy for myself and my heirs to come.;;;;Ya no soy parte de un reino gobernado por la dinastía [Root.GetOnlyDynastyName]. Ahora tengo derecho a establecer mi propia dinastía, en mi propio nombre, y establecer un legado para mí y mis herederos venideros.;;;;;;;;;x
EVTDESC91350;My [GetFromFromRelation], [FromFrom.GetBestName], has let me know that my sinful living shames the entire dynasty in [FromFrom.PrimaryTitle.GetName]. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetOnlyDynastyName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him).;;;;Mi [GetFromFromRelation], [FromFrom.GetBestName], me ha hecho saber que mi vida pecaminosa avergüenza a toda la dinastía en [FromFrom.PrimaryTitle.GetName]. [FromFrom.GetElEllaCap] está ejerciendo su influencia para proteger a la Casa [Root.GetOnlyDynastyName], pero me insiste en seguir el ejemplo del Profeta (la paz sea con él).;;;;;;;;;x
EVTDESC91351;My decadent [GetFromRelation], [From.GetTitledFirstName], refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to exile the degenerate... unless there is another way to get through to [From.GetObjectPronoun]?;;;;Mi decadente [GetFromRelation], [From.GetTitledFirstName], se niega a cambiar sus formas pecaminosas. Puedo declararle un kafir, lo que me dará una razón para exiliar al degenerado... ¿a menos que haya otra forma de llegar a [From.GetElElla]?;;;;;;;;;x
EVTOPTB91360;I must join the [join_holy_order.GetFullName]!;;;;¡Debería unirme a la [join_holy_order.GetFullName]!;;;;;;;;;x
EVTDESC_emf_decadence_2500_low;The [Root.GetOnlyDynastyName] dynasty is considered a §YDecadent Dynasty§! in [Root.PrimaryTitle.GetName];;;;La dinastía [Root.GetOnlyDynastyName] es considerada una §YDinastía Decadente§! en [Root.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC_emf_decadence_2500_med;The [Root.GetOnlyDynastyName] dynasty is considered a §YVery Decadent Dynasty§! in [Root.PrimaryTitle.GetName];;;;La dinastía [Root.GetOnlyDynastyName] es considerada una §YDinastía MUY Decadente§! en [Root.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC_emf_decadence_2500_high;The [Root.GetOnlyDynastyName] dynasty is considered an §YExtremely Decadent Dynasty§! in [Root.PrimaryTitle.GetName];;;;La dinastía [Root.GetOnlyDynastyName] es considerada una §YDinastía Extremadamente Decadente§! en [Root.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC_emf_decadence_2501;Things appear to be improving for the [Root.GetOnlyDynastyName] dynasty in [Root.PrimaryTitle.GetName]. The number of openly decadent family members has fallen to the point where your subjects have begun to notice, and are commenting that perhaps the [Root.GetOnlyDynastyName]s are not doomed to corruption and heresy after all.;;;;Las cosas parecen mejorar para la dinastía [Root.GetOnlyDynastyName] en [Root.PrimaryTitle.GetName]. El número de familiares abiertamente decadentes ha caído hasta el punto que tus vasallos han empezado a notarlo, y comentan que tal vez los [Root.GetOnlyDynastyName]s no estén condenados a la corrupción y la herejía después de todo.;;;;;;;;;x
EVTOPTA_emf_decadence_2501;Of course we're not!;;;;¡Por supuesto que no!;;;;;;;;;x
EVTDESC_emf_decadence_2502;Thing have been getting worse for the [Root.GetOnlyDynastyName] dynasty in [Root.PrimaryTitle.GetName]. More and more of your family members have become openly decadent, flouting Muslim tradition and propriety with their embracing of sin and wealth. Your subjects are beginning to comment that the [Root.GetOnlyDynastyName]s are facing the wrath of Allah if something is not done soon.;;;;Las cosas han empeorado para la dinastía [Root.GetOnlyDynastyName] en [Root.PrimaryTitle.GetName]. Más y más miembros de tu dinastía se han convertido abiertamente en decadentes, burlando la tradición musulmana con el pecado y la riqueza. Tus vasallos empiezan a comentar que los [Root.GetOnlyDynastyName]s se enfrentarán a la ira de Alá si no se hace algo pronto.;;;;;;;;;x
EVTOPTA_emf_decadence_2502;I'm sure it's not as bad as that;;;;Seguro que no es tan malo;;;;;;;;;x
EVTDESC_emf_decadence_2507;Your decadent [GetFromRelation], [From.GetTitledFirstName], approaches you one evening in [Root.Location.GetName], intent on asking for coin: 'Surely you can spare some? You have so much, and I so little. My expenses are so great, alas...';;;;Tu decadente [GetFromRelation], [From.GetTitledFirstName], se acerca una noche en [Root.Location.GetName], con la intención de pedir una moneda: "¿Seguramente puedes prestarme algunas? Tú tienes tanto y yo tan poco. Mis gastos son tan grandes, ay...";;;;;;;;;x
EVTOPTA_emf_decadence_2507;Well, [From.GetSheHe] *is* family...;;;;Bueno, [From.GetElElla] *es* familia...;;;;;;;;;x
EVTOPTB_emf_decadence_2507;More begging for coin? Get out!;;;;¿Pidiendo más dinero? ¡Vete!;;;;;;;;;x
EVTDESC_emf_decadence_2510;Your [GetFromRelation], [From.GetTitledFirstName], has decided to establish a cadet branch of the [Root.GetOnlyDynastyName] dynasty. From now on, he and all his descendants will be known as the [From.GetOnlyDynastyName] dynasty.;;;;Tu [GetFromRelation], [From.GetTitledFirstName], ha decidido establecer una rama cadete de la dinastía [Root.GetOnlyDynastyName]. A partir de ahora, él y todos sus descendientes serán conocidos como la dinastía [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC_emf_decadence_2511;Your [GetFromRelation], [From.GetTitledFirstName], has decided to establish a cadet branch of the [old_dynasty_head.GetOnlyDynastyName] dynasty. From now on, he and all his descendants will be known as the [From.GetOnlyDynastyName] dynasty.;;;;Tu [GetFromRelation], [From.GetTitledFirstName], ha decidido establecer una rama cadete de la dinastía [old_dynasty_head.GetOnlyDynastyName]. A partir de ahora, él y todos sus descendientes serán conocidos como la dinastía [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC_emf_decadence_2512;The [old_dynasty_head.GetOnlyDynastyName] dynasty has become decadent, and Allah would not look favorably upon it. From now on, my descendants and I will be known as the [Root.GetOnlyDynastyName] dynasty, and we shall establish a new chapter in the [Root.PrimaryTitle.GetFullName]!;;;;La dinastía [old_dynasty_head.GetOnlyDynastyName] se ha vuelto decadente, y Allah no la vería con buenos ojos. De ahora en adelante, mis descendientes y yo seremos conocidos como la dinastía [Root.GetOnlyDynastyName], ¡y estableceremos un nuevo capítulo en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTA_emf_decadence_2512;My accomplishments will be my own;;;;Mis logros serán míos;;;;;;;;;x
EVTDESC_emf_decadence_2515;[Root.Religion.GetName] rebels have risen up in [Root.GetName], led by a man by the name of [revolt_leader.GetFirstName] who has decried the decadence of the [Root.Owner.TopLiege.GetOnlyDynastyName] dynasty. If not swiftly crushed, this revolt could spread like wildfire!;;;;Los rebeldes [Root.Religion.GetName] se han levantado en [Root.GetName], liderados por un hombre llamado [revolt_leader.GetFirstName] que ha denunciado la decadencia de la dinastía [Root.Owner.TopLiege.GetOnlyDynastyName]. Si no se aplasta rápidamente, ¡podría extenderse como la pólvora!;;;;;;;;;x
EVTDESC_emf_decadence_2516;[From.Religion.GetName] rebels have risen up in [From.GetName], led by a man by the name of [revolt_leader.GetFirstName] who has decried the decadence of the [From.Owner.TopLiege.GetOnlyDynastyName] dynasty. If not swiftly crushed, this revolt could spread like wildfire!;;;;Los rebeldes [From.Religion.GetName] se han levantado en [From.GetName], liderados por un hombre llamado [revolt_leader.GetFirstName] que ha denunciado la decadencia de la dinastía [From.Owner.TopLiege.GetOnlyDynastyName]. Si no se aplasta rápidamente, ¡podría extenderse como la pólvora!;;;;;;;;;x
EVTDESC_emf_decadence_2518;Prompted by the revolt against the decadence [Root.Owner.TopLiege.GetOnlyDynastyName] dynasty, another raving mob of rebels has arisen in [Root.GetName] to reinforce the uprising!;;;;¡Impulsado por la revuelta contra la dinastía decadente [Root.Owner.TopLiege.GetOnlyDynastyName], otra turba de rebeldes ha surgido en [Root.GetName] para reforzar el levantamiento!;;;;;;;;;x
EVTDESC_emf_decadence_2519;Prompted by the revolt against the decadence [From.Owner.TopLiege.GetOnlyDynastyName] dynasty, another raving mob of rebels has arisen in [From.GetName] to reinforce the uprising!;;;;¡Impulsada por la revuelta contra la decadencia de la dinastía [From.Owner.TopLiege.GetOnlyDynastyName], otra turba de rebeldes ha surgido en [From.GetName] para reforzar el levantamiento!;;;;;;;;;x
EVTDESC_emf_decadence_2526;[From.Religion.GetName] leaders in [From.GetName] are becoming increasingly displeased at the decadence of the [Root.GetOnlyDynastyName] dynasty under [Root.GetTitledFirstName]. They are stirring discontent against you, and only quick and brutal action could possibly stop their words from taking hold.;;;;Los líderes [From.Religion.GetName] en [From.GetName] están cada vez más disgustados por la decadencia de la dinastía [Root.GetOnlyDynastyName] bajo [Root.GetTitledFirstName]. Están provocando descontento contra ti, y solo una acción rápida y brutal podría evitar que sus palabras se arraiguen.;;;;;;;;;x
EVTOPTA_emf_decadence_2526;Ignore it, for now;;;;Ignóralo, por ahora;;;;;;;;;x
EVTOPTB_emf_decadence_2526;Round up the agitators and execute them;;;;Reúne a los agitadores y ejecútalos;;;;;;;;;x

