#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
slovene;Slovene;;;;Esloveno;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] to use the Subjugation Casus Belli once every three years within the kingdom.;[This.GetTitledFirstName] désire devenir roi de [This.Capital.Kingdom.GetName]. S'il est païen, cela permet à/au [This.GetObjectPronoun] l'utilisation illimitée de l'assujettissement casus belli au sein du royaume. ;[This.GetTitledFirstName] möchte König von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem Königreich.;; [This.GetTitledFirstName] quiere convertirse en Rey de [This.Capital.Kingdom.GetName]. Si es pagano, le permite el uso ilimitado del Casus Belli por Subyugación dentro del reino.;;;;;;;;;x
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, this can be repeated every three years.) Free men are always willing to follow the mightiest ruler...;"Les païens peuvent assujettir d'autres païens, ce, une seule fois pendant toute leur vie. (Avec l'ambition ""Devenir roi"", cette limitation est levée quand il s'agit de cibles à l'intérieur du royaume visé.) Les hommes libres veulent toujours suivre le souverain le plus puissant...";Heiden dürfen einmal im Leben andere heidnische Anfährer unterwerfen. (Mit der 'König werden'-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des Königreiches.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos una vez en la vida. (Con la ambición 'Convertirse en Rey' puedes repetir cada tres años) Los hombres libres siempre estarán dispuestos a seguir al gobernante más poderoso...;;;;;;;;;x
embargo_cb_desc;§Y$CLAIMANT$§! can use this Casus Belli to raze all trade posts of §Y$TARGET$§!, or their vassals, within the realm and prevent §Y$TARGET$§!, or their vassals, from building any future trade posts for some time within that territory.;;;;;;;;;;;;;x
cultural_flexibility;Cultural Flexibility;;;;Flexibilidad cultural;;;;;;;;;x
RETINUE_EXPL_DEL;Your Retinue is a standing army consisting of §Y250-man§! regiments. Unlike Army Levies, retinues are always on the map and reinforce slowly. Retinues cost the most maintenance while reinforcing, but will still cost one fourth of their maximum reinforcement cost when simply being maintained.\nThe maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology, the size of all the levies in your realm, and the buildings in your demesne.;;;;Tu séquito es un ejército permanente formado por regimientos de §Y250 hombres§!. Al contrario que las levas, los séquitos permanecen en el mapa reforzándose lentamente. Cuesta dinero mantener los séquitos, y cuatro veces más si es necesario reforzarlos.\nEl número máximo de regimientos de séquitos depende tu tecnología de §YOrganización Militar§!, del tamaño de las levas del reino, y de los edificios de tu heredad.;;;;;;;;;x
gluttonous_death;of gluttony;;;;de glotonería;;;;;;;;;x
is_not_allied;Target is not an ally\n;;;;El objetivo no es un aliado\n;;;;;;;;;x
religious_enemy;Target is a religious enemy\n;;;;El objetivo es un enemigo religioso\n;;;;;;;;;x
baqt_active;Unaffected by Baqt;;;;No afectado por la Baqt;;;;;;;;;x
BM_THE_OLD_GODS_DESC;§G[NOTE: Preferred, balanced bookmark: William the Conqueror]§!  §Y'How the little piglets would grunt if they knew how the old boar suffered.'§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok§! as he lay dying in the snake pit of Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla§! a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik§! and §YDyre§! - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!;§YÔ combien les petits porcelets ronchonneraient s'ils savaient à quel point a souffert le vieux sanglier.§! Voilà qui furent les dernières paroles prophétiques du légendaire Viking §YRagnarr Loðbrok§! alors qu'il gisait à l'agonie dans la fosse aux serpents de §YÆlla§!, le roi northumbrien. En 867, les fils vindicatifs de Loðbrok et leur 'Grande Armée païenne' ont pénétré dans les petits royaumes de Bretagne et ont fait de §YÆlla§! un 'aigle de sang'. Au même moment, deux autres seigneurs nordiques, §YRurik§! et §YDyre§!, souillaient les terres de leurs rivaux parmi les tribus slaves et finnoises dans l'Est, posant les fondations de ce qui allait un jour devenir la Russie. Les Anciens Dieux sont toujours puissants, tout comme le sont leurs puissants guerriers !;§YWie die kleinen Ferkel grunzen würden, wenn sie wüssten, wie das alte Wildschwein litt.§! Dies waren die prophetischen letzten Worte des legendären Wikingers §YRagnarr Loðbrok§!, als er sterbend in der Schlangengrube des northumbrischen Königs §YÆlla§! lag. 867 fielen die rachedurstigen Söhne von Loðbrok mit ihrer 'Großen Ketzerischen Armee' in die erbärmlichen Königreiche Brittaniens ein, um §YÆlla§! zum 'Blutadler' zu machen. Zu gleicher Zeit erschufen zwei andere nordische Lords - §YRurik§! und §YDyre§! - ihre eigenen rivalisierenden Staaten unter den slawischen und finnischen Stämmen des Ostens und legten den Grundstein für das, was eines Tages Russland sein würde. Die Alten Götter sind noch immer mächtig und ihre Krieger sind stark!;;§YCómo gruñirían los cerditos si supieran cómo sufrió el viejo jabalí.§! Esas fueron las últimas palabras proféticas del legendario vikingo §YRagnarr Loðbrok§! mientras agonizaba en el nido de vívoras del rey de Northumbria §YÆlla§!. En el 867, los vengativos hijos de Loðbrok y su ‘Gran Ejército Pagano’ descendieron sobre los pequeños reinos de Bretaña para hacer de §YÆlla§! un ‘Águila de Sangre’. Mientras tanto, otros dos señores Nórdicos, §YRurik§! y §YDyre§!, fueron forjando sus propios estados rivales entre las tribus Eslavas y Finlandesas del Este, estableciendo las bases de lo que un día se convertiría en Rusia. ¡Los Antiguos Dioses aún son fuertes y sus guerreros poderosos!;;;;;;;;;x
BM_FATE_OF_ENGLAND_DESC;§G[NOTE: Preferred, balanced bookmark: William the Conqueror]§!  September 20, 1066 AD. King Harold Godwinson rushes to defend the shores of England against the forces of his traitorous brother Tostig and the Norwegian king Harald IV, nicknamed 'Hårdråde' (Hard Ruler). Meanwhile, William, Duke of Normandy, is about to launch his own invasion of England, sanctioned by Pope Alexander II himself. Saxon, Norse, or Norman - who shall rule Albion?;20 septembre 1066. Le roi Harold Godwinson se précipite pour défendre les rivages de l’Angleterre contre les forces de son traître de frère, Tostig, et du roi norvégien Harald III, surnommé 'Hårdråde'. Entre temps, Guillaume, duc de Normandie, s’apprête, lui aussi, à envahir l’Angleterre, sanctionné par le Pape Alexandre II en personne. Saxons, Norvégiens ou Normands… Qui régnera sur Albion ?;20. September, Anno 1066. König Harald Godwinson eilt zur Verteidigung der Küsten Englands gegen die Truppen seines verräterischen Bruders Tostig und des norwegischen Königs Harald III., der den Spitznamen 'Hårdråde' (harter Herrscher) trägt. In der Zwischenzeit ist Wilhelm II., Herzog der Normandie, dabei, seine eigene Invasion Englands zu starten, die von Papst Alexander II. persönlich abgesegnet wurde. Sachse, Nordmann oder Normanne - wer wird Albion regieren?;;20 de septiembre de 1066 DC. El rey Harold Godwinson se apresura a defender las costas de Inglaterra contra las fuerzas de su hermano traidor Tostig y el rey noruego Harald III, conocido como 'Hårdråde' (tirano). Mientras, Guillermo, duque de Normandía, prepara la invasión de Inglaterra con la aprobación del mismo Papa Alejandro II. ¿Quién reinará Albión?, ¿sajones, escandinavos o normandos?;;;;;;;;;x
BM_NORMAN_CONQUEST_DESC;§G[Preferred, Balanced Bookmark]§!  Victorious at the hard-fought Battle of Hastings, William, Duke of Normandy, has proclaimed himself King of England. Displaced Saxon lords rage against the French speaking usurpers as fief after fief is given to William's loyal followers. In Anatolia, the Seljuk Turks under the great sultan Alp Arslan are about to invade the Byzantine Empire in a struggle that will determine the fate of Asia Minor...;Après avoir remporté la redoutable bataille d’Hastings, Guillaume, duc de Normandie, s’est autoproclamé roi d’Angleterre. Les seigneurs saxons sont fous de rage contre ces usurpateurs parlant français en voyant que leurs fiefs sont offerts, les uns après les autres, aux fidèles partisans de Guillaume. En Anatolie, les Turcs Seljuks, sous l’autorité du grand sultan Alp Arslan, s’apprêtent à envahir l’Empire byzantin et à livrer une bataille qui scellera le destin de l’Asie mineure...;Nach seinem Sieg in der Schlacht von Hastings erklärt Wilhelm II., Herzog der Normandie, sich zum König von England. Vertriebene sächsische Fürsten erheben sich gegen die frankophonen Thronräuber, während Lehen um Lehen Wilhelms loyalen Gefolgsleuten zufällt. In Anatolien machen sich die Seldschuken unter dem großen Sultan Alp Arslan bereit, das Byzantinische Kaiserreich in einen Krieg zu verwickeln, der das Schicksal Kleinasiens bestimmen wird ...;;Guillermo, duque de Normandía, sale victorioso en la Batalla de Hastings y se proclama rey de Inglaterra. Los señores sajones expatriados protestan contra los usurpadores francoparlantes y los feudos se van adjudicando a los fieles seguidores de Guillermo. En Anatolia, los selyúcidas, al mando del gran sultán Alp Arslan, se aprestan a invadir el Imperio Bizantino en lucha decisiva del destino de Asia Menor...;;;;;;;;;x
