#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################################################
####  CHARACTER MODIFIERS
################################################################################
emf_faction_rebel_antichrist;Rebel Anti-Christ;;;;Anti-Cristo rebelde;;;;;;;;;x
emf_faction.10.desc;Great [Root.GetTitledFirstName]! I and a powerful group of loyalists are ready to present an ultimatum to the usurper, [From.Liege.GetTitledName], demanding your rule over [emf_claim_title.GetName]. Is this what you want?\n\nYour loyal supporter,\n[From.GetTitledName];;;;¡Genial [Root.GetTitledFirstName]! Yo y un poderoso grupo de partidarios estamos listos para presentar un ultimátum al usurpador, [From.Liege.GetTitledName], exigiendo tu gobierno sobre [emf_claim_title.GetName]. ¿Es esto lo que quieres?\n\nTu fiel partidario,\n[From.GetTitledName];;;;;;;;;x
emf_faction.10.opt.join_faction;Why yes! And I shall join my army with yours.;;;;¡Claro que sí! Y uniré mi ejército al tuyo.;;;;;;;;;x
emf_faction.10.opt.ok_in_faction;Of course. My army already stands with yours.;;;;Por supuesto. Mi ejército ya está con el tuyo.;;;;;;;;;x
emf_faction.10.opt.ok_neutral;Sure...;;;;Por supuesto...;;;;;;;;;x
emf_faction.10.opt.refuse_installation;I don't want this happening on my behalf!;;;;¡No quiero que esto suceda en mi nombre!;;;;;;;;;x
emf_faction.11.desc;Most loyal [Root.GetTitledFirstName], I fully endorse serving an ultimatum to the usurper, [Root.Liege.GetFirstName]. It is time for the [Root.Liege.GetTitle] to see justice, and your part in that shall not be forgotten by many.\n\nGood luck,\n[From.GetTitledName];;;;Muy leal [Root.GetTitledFirstName], estoy totalmente de acuerdo con dar un ultimátum al usurpador, [Root.Liege.GetFirstName]. Es hora de que [Root.Liege.GetTitle] vea justicia, y tu participación en esto no será olvidada.\n\nBuena suerte,\n[From.GetTitledName];;;;;;;;;x
emf_faction.11.desc_joined_faction;Most loyal [Root.GetTitledFirstName], I fully endorse serving an ultimatum to the usurper, [Root.Liege.GetFirstName]. Indeed, I pledge my full military support to assist our common cause, should the [Root.Liege.GetTitle] refuse to see reason.\n\nIn solidarity,\n[From.GetTitledName];;;;Muy leal [Root.GetTitledFirstName], estoy totalmente de acuerdo con dar un ultimátum al usurpador, [Root.Liege.GetFirstName]. De hecho, prometo mi total apoyo militar para ayudar a nuestra causa común, en caso de que [Root.Liege.GetTitle] se niegue a entrar en razón.\n\nEn solidaridad,\n[From.GetTitledName];;;;;;;;;x
emf_faction.11.opt.send_ultimatum;It's show time...;;;;Es hora del espectáculo ...;;;;;;;;;x
emf_faction.12.desc;Most loyal [Root.GetTitledFirstName], while I am grateful and honored by your support, I do not wish my claim on [emf_claim_title.GetName] to be pressed at this time. Please stand down. Perhaps I will feel differently in time...\n\nThank you,\n[From.GetTitledName];;;;Muy leal [Root.GetTitledFirstName], aunque estoy agradecido y honrado por tu apoyo, no deseo que mi derecho sobre [emf_claim_title.GetName] sea presionado en este momento. Por favor retírate. Quizás en otro momento...\n\nGracias,\n[From.GetTitledName];;;;;;;;;x
emf_faction.12.opt.stand_down;Oof. I shall stand down then.;;;;Oof. Entonces me retiraré.;;;;;;;;;x
emf_faction.1003.desc_courtier;§RDebug Mode: PF Error§!\n\n[From.GetTitledName]\n\nIncoherent non-ruler civil war state!;;;;§RModo de depuración: Error de PF§!\n\n[From.GetTitledName]\n\n¡Estado incoherente de guerra civil no-gobernante!;;;;;;;;;x
emf_faction.1003.desc_ruler;§RDebug Mode: PF Error§!\n\n[From.GetTitledFirstName] of the [From.PrimaryTitle.GetFullBaseName]\n\nIncoherent civil war state!;;;;§RModo de depuración: Error de PF§!\n\n[From.GetTitledFirstName] del [From.PrimaryTitle.GetFullBaseName]\n\n¡Estado de guerra civil incoherente!;;;;;;;;;x
emf_faction.1010.desc;You may incite a normal faction overthrow revolt, as if the faction had decided to do so, wherein dynamic call-to-arms will work as usual. Alternatively, you may force all qualifying vassals of [From.GetTitledFirstName] to accept the rebel call-to-arms, which will normally result in a much more inclusive revolt.;;;;Puedes incitar una revuelta normal de derrocamiento de una facción, como si la facción hubiera decidido hacerlo, en la que las llamadas a las armas dinámicas funcionarán como de costumbre. Alternativamente, puedes forzar a todos los vasallos cualificados de [From.GetTitledFirstName] a aceptar la llamada a las armas, que normalmente resultará en una revuelta mucho más inclusiva.;;;;;;;;;x
emf_faction.1010.opt.a;Standard Revolt;;;;Revuelta estándar;;;;;;;;;x
emf_faction.1010.opt.b;Maximal Revolt;;;;Revuelta máxima;;;;;;;;;x
################################################################################
####  TOOLTIPS
################################################################################
SUPPORTED_CLAIMANT_OF_ROOT_HAS_CLAIM_ON_THIS_TITLE;§Y[Root.SupportedClaimant.GetBestName]§! has a claim on the §Y[This.GetFullName]§!;;;;§Y[Root.SupportedClaimant.GetBestName]§! tiene un derecho sobre §Y[This.GetFullName]§!;;;;;;;;;x
emf_faction_ctt_no_liege_in_revolt;Is NOT in revolt [This.GetHerselfHimself] NOR are any of [This.GetPossPronoun] lieges in revolt;;;;NO está en rebelión NI ninguno de sus señores está en rebelión;;;;;;;;;x
