#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_autolander;Grant Recently Acquired Land;;;;Otorgar tierras recién adquiridas;;;;;;;;;x
emf_autolander_auto_locals_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new characters (regardless of excess demesne capacity), each a local to the province being given out. Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;Por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, se te preguntará si quieres otorgarla a un nuevo personaje local, hasta que no excedas el límite de heredad. Si quieres continuar a partir de ese punto (a pesar de exceder el límite), recurre otra vez a esta decisión. Este comportamiento es específico al multijugador: en modo individual, entre otras diferencias, se te preguntará por cada provincia antes de otorgarla.;;;;;;;;;x
emf_autolander_spare_prov;Keep [Root.job_chancellor.Location.GetName];;;;Mantener a [Root.job_chancellor.Location.GetName];;;;;;;;;x
emf_autolander_spare_prov_desc;Remove the 'Recently Acquired' modifier from the province of [Root.job_chancellor.Location.GetName].\nThis will prevent it from being considered by the 'Grant Recently Acquired Land' decision.;;;;Quitar el modificador de "Recientemente Adquirida" en la provincia de [Root.job_chancellor.Location.GetName].\nEsto evitará tenerla en cuenta al tomar la decisión 'Otorgar tierras recién adquiridas'.;;;;;;;;;x
emf_autolander_grant_county;Grant County;;;;Otorgar condado;;;;;;;;;x
emf_autolander_grant_county_desc;You may grant [Root.Location.GetName] to a new steward, [From.Religion.GetPriestTitle], or military governor either of your own culture and religion or of the local provincial culture and religion, if different.;;;;Puedes otorgar [Root.Location.GetName] a un nuevo administrador, [From.Religion.GetPriestTitle], o gobernador militar, de tu cultura y religión o de la cultura y religión locales, si son diferentes.;;;;;;;;;x
emf_autolander_grant_county_mp_steward;Grant County (Administrator);;;;Otorgar condado (Administrador);;;;;;;;;x
emf_autolander_grant_county_mp_steward_desc;You may grant [Root.Location.GetName] to a capable, new [From.Culture.GetName]-[From.Religion.GetName] steward.;;;;Otorgarás [Root.Location.GetName] a un nuevo  y capacitado administrador [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
emf_autolander_grant_county_mp_priest;Grant County ([From.Religion.GetPriestTitleCap]);;;;Otorgar condado ([From.Religion.GetPriestTitleCap]);;;;;;;;;x
emf_autolander_grant_county_mp_priest_desc;You may grant [Root.Location.GetName] to a capable, new [From.Culture.GetName]-[From.Religion.GetName] [From.Religion.GetPriestTitle].;;;;Otorgarás [Root.Location.GetName] a un nuevo y capacitado [From.Religion.GetPriestTitle] [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
emf_autolander_grant_county_mp_soldier;Grant County (Military Governor);;;;Otorgar condado (Gobernador militar);;;;;;;;;x
emf_autolander_grant_county_mp_soldier_desc;You may grant [Root.Location.GetName] to a capable, new [From.Culture.GetName]-[From.Religion.GetName] military governor.;;;;Otorgarás [Root.Location.GetName] a un nuevo  y capacitado gobernador militar [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
emf_autolander_grant_county_mp_steward;Grant County (Local Administrator);;;;Otorgar condado (Administrador local);;;;;;;;;x
emf_autolander_grant_county_mp_steward_desc;You may grant [Root.Location.GetName] to a capable, new [Root.Culture.GetName]-[Root.Religion.GetName] steward.;;;;Otorgarás [Root.Location.GetName] a un nuevo  y capacitado administrador [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
emf_autolander_grant_county_mp_priest;Grant County (Local [Root.Religion.GetPriestTitleCap]);;;;Otorgar condado ([Root.Religion.GetPriestTitleCap] local);;;;;;;;;x
emf_autolander_grant_county_mp_priest_desc;You may grant [Root.Location.GetName] to a capable, new [Root.Culture.GetName]-[Root.Religion.GetName] [Root.Religion.GetPriestTitle].;;;;Otorgarás [Root.Location.GetName] a un nuevo  y capacitado [From.Religion.GetPriestTitle] [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
emf_autolander_grant_county_mp_soldier;Grant County (Local Military Governor);;;;Otorgar condado (Gobernador militar local);;;;;;;;;x
emf_autolander_grant_county_mp_soldier_desc;You may grant [Root.Location.GetName] to a capable, new [Root.Culture.GetName]-[Root.Religion.GetName] military governor.;;;;Otorgarás [Root.Location.GetName] a un nuevo  y capacitado gobernador militar [From.Culture.GetName]-[From.Religion.GetName].;;;;;;;;;x
#### EVENTS ####
emf_autolander.6.desc;Grant the province [target_county.Location.GetName]?\n\nDuchy: [target_county.Duchy.GetBaseName]\nKingdom: [target_county.Kingdom.GetBaseName];;;;¿Otorgar la provincia de [target_county.Location.GetName]?\n\nDucado: [target_county.Duchy.GetBaseName]\nReino: [target_county.Kingdom.GetBaseName];;;;;;;;;x
emf_autolander.6.opt.a;Give it to a random, new leader of my choosing;;;;Otorgar a un nuevo líder aleatorio de mi elección;;;;;;;;;x
emf_autolander.6.opt.b;Give to [char_one.GetTitledName];;;;Otorgado a [char_one.GetTitledName];;;;;;;;;x
emf_autolander.6.opt.c;Give to [char_two.GetTitledName];;;;Otorgado a [char_two.GetTitledName];;;;;;;;;x
emf_autolander.6.opt.d;Skip;;;;Ignorar;;;;;;;;;x
emf_autolander.20.desc;Would you like to grant [target_prov.GetName] and any owned subholdings in it to a military governor, a priest, or a steward?;;;;¿Te gustaría entregar [target_prov.GetName] y cualquier subpropiedad que haya en ella a un gobernador militar, un clérigo o un administrador?;;;;;;;;;x
emf_autolander.20.opt.marshal;A military governor.;;;;Gobernador militar.;;;;;;;;;x
emf_autolander.20.opt.priest;A learned priest.;;;;Clérigo preparado.;;;;;;;;;x
emf_autolander.20.opt.steward;A capable steward.;;;;Administrador capacitado.;;;;;;;;;x
emf_autolander.21.desc;You may choose to hire a [Root.Culture.GetName]-[Root.Religion.GetName] leader to govern [target_prov.GetName] at a cost, or you may appoint a local leader from [target_prov.GetName] to govern. Which will it be?;;;;Puedes escoger contratar a un líder [Root.Culture.GetName]-[Root.Religion.GetName] para que gobierne [target_prov.GetName] por un precio, o puedes designar a un líder local de [target_prov.GetName] para ello. ¿Qué decides?;;;;;;;;;x
emf_autolander.21.opt.my_culrel;Send a [Root.Culture.GetName]-[Root.Religion.GetName].;;;;Enviar a un [Root.Culture.GetName]-[Root.Religion.GetName].;;;;;;;;;x
emf_autolander.21.opt.prov_culrel;Appoint a local [target_prov.Culture.GetName]-[target_prov.Religion.GetName].;;;;Designar a un [target_prov.Culture.GetName]-[target_prov.Religion.GetName] local.;;;;;;;;;x
emf_autolander.21.opt.my_culrel_priest;Send a [Root.Culture.GetName]-[Root.Religion.GetName] [Root.Religion.GetPriestTitle].;;;;Enviar a un [Root.Religion.GetPriestTitle] [Root.Culture.GetName]-[Root.Religion.GetName].;;;;;;;;;x
emf_autolander.21.opt.prov_culrel_priest;Appoint a local [target_prov.Culture.GetName]-[target_prov.Religion.GetName] [target_prov.Religion.GetPriestTitle].;;;;Designar a un [target_prov.Religion.GetPriestTitle] [target_prov.Culture.GetName]-[target_prov.Religion.GetName] local.;;;;;;;;;x
#### TOOLTIPS ####
emf_autolander_ctt_negative_gold_warning;§RWARNING:§! This will put you in debt.\n;;;;§RCUIDADO§! Esto te endeudará.\n;;;;;;;;;x
emf_autolander_ctt_pay_governor;This gold WILL be transferred to the new governor.\n;;;;Este oro SERÁ transferido al nuevo gobernador.;;;;;;;;;x
emf_autolander_ctt_pay_governor_not_required_for_prov_culrel;Appointing a local governor costs no gold.\n;;;;Designar un gobernador local no cuesta oro.;;;;;;;;;x
emf_autolander_ctt_prompt_province;Prompt to distribute titles in §Y[This.GetBaseName]§!.\n;;;;Solicitud para distribuir títulos en §Y[This.GetBaseName]§!;;;;;;;;;x
emf_autolander_ctt_auto_grant_province;Automatically grant titles in §Y[This.GetBaseName]§!.\n;;;;Otorgar títulos automáticamente en  §Y[This.GetBaseName]§!;;;;;;;;;x
emf_autolander_ctt_councillor_in_right_spot;[Root.GetChancellorName] §Y[Root.job_chancellor.GetFirstName]§! is deployed to improve relations in a recently-acquired province.\n;;;;[Root.GetChancellorName] §Y[Root.job_chancellor.GetFirstName]§! es enviado a mejorar las relaciones en la provincia recién adquirida.\n;;;;;;;;;x
emf_autolander_ctt_province_will_be_spared;Spare §Y[This.GetName]§! from automatic land distribution.\nThe recently-acquired modifier will be removed from the province.\n;;;;Evitar que §Y[This.GetName]§! se distribuya automáticamente.\nEl modificador de 'Recién adquirida' se eliminará de la provincia.\n;;;;;;;;;x
emf_autolander_ctt_grant_family;Grant §Y[target_county.Location.GetName]§! to my kin, §Y[This.GetTitledName]§!.;;;;Otorgar §Y[target_county.Location.GetName]§! a mi familiar, §Y[This.GetTitledName]§!.;;;;;;;;;x
emf_autolander_ctt_grant_family_councillor;Grant §Y[target_county.Location.GetName]§! to my kin and councilor ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;Otorgar §Y[target_county.Location.GetName]§! a mi familiar y consejero ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;;;;;;x
emf_autolander_ctt_grant_councillor;Grant §Y[target_county.Location.GetName]§! to my councilor ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;Otorgar §Y[target_county.Location.GetName]§! a mi consejero ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;;;;;;x
emf_autolander_ctt_grant_other;Grant §Y[target_county.Location.GetName]§! to §Y[This.GetTitledName]§!.;;;;Otorgar §Y[target_county.Location.GetName]§! a §Y[This.GetTitledName]§!.;;;;;;;;;x
#### MODIFIERS ####
emf_mod_recently_acquired;Recently Acquired;;;;Recientemente adquirida;;;;;;;;;x
emf_mod_recently_acquired_desc;This province has been recently acquired and qualifies for automatic land distribution.;;;;Esta provincia se ha adquirido recientemente y es apta para distribuirla automáticamente.;;;;;;;;;x
