#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
meneth.208.desc;For whatever reason, you hold a kingdom or empire that has no Internal Peace law. Perhaps you recently formed an empire, and the game thus didn't give you Emperor's Peace, or perhaps you're an emperor who formed a kingdom. Either way, this event should fix that for you.;;;;Por alguna razón tienes un reino o imperio sin ley de paz del reino. Quizás formaste el imperio hace poco, o quizás creaste un reino siendo emperador. En cualquier caso, este evento debería repararlo.;;;;;;;;;x
meneth.209.desc;It appears that refusing the Pope's request was a questionable decision. He has retaliated by excommunicating me.;;;;Parece ser que rechazar al Papa no fue una buena idea. ¡Ha decidido excomulgarte!;;;;;;;;;x
meneth.209.a;We are excommunicated;;;;Estás excomulgado;;;;;;;;;x
meneth.210.desc;I have been excommunicated due to my war against the Papacy.;;;;Has sido excomulgado debido a nuestra guerra contra el Papado.;;;;;;;;;x
meneth.210.a;So be it.;;;;;;;;;;;;;x
meneth.212.desc;You usually shouldn't be seeing this event, but for whatever reason the game thinks you're still at a tournament despite it being over already. This event fixes that, so you can hold tournaments.;;;;No deberías ver este evento. Si por alguna razón el juego piensa que aún sigues en un torneo cuando éste ha acabado, este evento debería solventarlo.;;;;;;;;;x
meneth.213.desc;[FromFrom.GetTitledFirstName] has requested an exchange of prisoners. [FromFrom.GetSubjectPronoun] wants [From.GetTitledFirstName] released, and will in exchange release one member of our dynasty from their dungeons.;;;;[FromFrom.GetTitledFirstName] ha solicitado un intercambio de prisioneros. [FromFrom.GetSubjectPronoun] quiere que [From.GetTitledFirstName] sea liberado, y ofrece a cambio liberar a un miembro de tu dinastía de sus mazmorras.;;;;;;;;;x
meneth.213.a;I accept the offer.;;;;;;;;;;;;;x
meneth.213.b;I refuse.;;;;;;;;;;;;;x
meneth.214.desc;[From.GetTitledFirstName] has agreed to release [FromFrom.GetTitledFirstName], and we've in turn released one of their dynasty members.;;;;[From.GetTitledFirstName] ha aceptado liberar a [FromFrom.GetTitledFirstName], y a cambio hemos liberado a un miembro de su dinastía.;;;;;;;;;x
meneth.215.desc;[From.GetTitledFirstName] has not agreed to release [FromFrom.GetTitledFirstName].;;;;[From.GetTitledFirstName] no ha aceptado liberar a [FromFrom.GetTitledFirstName].;;;;;;;;;x
meneth.400.desc;It is time we asserted our dominion over Anatolia. We should invade Iconium.;;;;Es hora de imponer nuestro dominio sobre Anatolia. Deberíamos invadir Iconium;;;;;;;;;x
meneth.400.a;To war!;;;;¡A la guerra!;;;;;;;;;x
meneth.400.b;I'd rather not;;;;Mejor no.;;;;;;;;;x
meneth.401.desc;A member of our dynasty has established himself in a position of power in Anatolia. Perhaps it would be best to let him rule Anatolia independently?.;;;;Un miembro de tu dinastía ha logrado establecer una posición de poder en Anatolia, ¿sería mejor dejarle gobernar Anatolia de manera independiente?;;;;;;;;;x
meneth.401.a;Very well;;;;Muy bien.;;;;;;;;;x
meneth.402.desc;The formation of the Rum Sultanate provides us with the perfect opportunity to declare independence from the empire. If we petition the emperor for independence he will likely grant our request as he knows it'll be almost impossible to project his power here now.;;;;La creación del Sultanato Rum nos proporciona la excusa perfecta para declarar la independencia del imperio. Si se la solicitamos al emperador es probable que la conceda, ya que sabe que es casi imposible que pueda ejercer su poder tan lejos.;;;;;;;;;x
meneth.402.a;Petition for independence;;;;Petición de independencia;;;;;;;;;x
meneth.403.desc;The rulers of Cilicia and Antioch have petitioned me for independence. Their lands are of course part of my realm by right, but I'm not sure I've actually got the means to keep them obedient. Granting them independence would be admitting that we cannot reconquer our lost lands.;;;;Los gobernantes de Cilicia y Antioquía te han pedido la independencia. Por supuesto, tales tierras son parte de tu reino por derecho, pero no es seguro que tengas los medios para mantenerles obedientes. Concederles la independencia sería admitir que no puedes reconquistar la tierra perdida.;;;;;;;;;x
meneth.403.a;Grant them independence;;;;Concederles la independencia;;;;;;;;;x
meneth.403.b;Deny them independence;;;;Denegarles la independencia;;;;;;;;;x
meneth.404.desc;The emperor has granted our request for independence!;;;;¡El emperador ha accedido nuestra solicitud de independencia!;;;;;;;;;x
meneth.404.a;Rejoice!;;;;¡Rogocijémonos!;;;;;;;;;x
meneth.405.desc;The emperor has refused our request for independence! We should go to war and gain it by force of arms, then.;;;;¡El emperador ha rechazado nuestra solicitud de independencia! Sólo nos queda la opción de conseguirla por las armas, entonces.;;;;;;;;;x
meneth.406.desc;We've achieved independence by military means!;;;;¡Hemos logrado la independencia por la fuerza de las armas!;;;;;;;;;x
meneth.407.desc;We are in a prime position to further extend our dominion over Anatolia. It is time we took the rest of this peninsula.;;;;Tenemos una posición privilegiada para extender nuestro dominio sobre Anatolia. Es hora de tomar el resto de la península.;;;;;;;;;x
meneth.408.desc;We've successfully taken the rest of Anatolia, only the city of Trapezous still resists our dominion.;;;;Hemos tomado con éxito el resto de Anatolia, tan sólo la ciudad de Trebisonda resiste.;;;;;;;;;x
meneth.409.desc;We've lost Anatolia, but we can still reclam the coast.;;;;Hemos perdido Anatolia, pero aún podemos reclamar la costa.;;;;;;;;;x
meneth.410.desc;The emperor tried to take our rightful lands, but we repelled his attempt. Our dominion over Anatolia is now clear to all.;;;;El emperador trató de quitarnos nuestras legítimas tierras, pero rechazamos su intento. Ahora está claro nuestro dominio de Anatolia.;;;;;;;;;x
meneth.411;Formation of Rum;;;;Formación de Rum;;;;;;;;;x
meneth.411.desc;With the Byzantine armies crushed by the Turks, Turkish warlords have exploited the power vacuum left by the Byzantine retreat. \nThey have managed to gain near complete control over the Anatolian peninsula. A dark shadow looms over the future of the once great empire. Will foreign invaders and internal trouble spell its doom, or will it persevere through it all?;;;;Con los ejércitos bizantinos destrozados por el turco, los señores turcos han aprovechado el vacío de poder dejado por la retirada bizantina.\nHan logrado un control casi completo de la península de Anatolia. Una gran sombra se cierne sobre el futuro del que fuera un gran imperio.;;;;;;;;;x
meneth.411.b;This can only mean trouble;;;;Esto sólo pueden ser problemas.;;;;;;;;;x
meneth.411.c;Even once great empires may fall;;;;Incluso los grandes imperios pueden caer.;;;;;;;;;x
meneth.412.desc;Ensures that Armenia isn't dejure Byzantine when it shouldn't be.;;;;Asegura que Armenia no sea territorio de jure bizantino cuando no deba.;;;;;;;;;x
meneth.413.desc;The Bulgarians have long been a thorn in our side. Now, as a result of the Rumites taking much of our rightful land they have become brave enough to actively resist our rule. They demand increased autonomy or they will make our rule hell. If we deny them it might make other groups troublesome as well.;;;;Los búlgaros han sido durante mucho tiempo una espina clavada en el costado. Ahora, como resultado de la pérdida de tierras a manos de los rumitas, han reunido el valor para resistirse a nuestro mandato. Solicitan su autonomía ampliada o amenazan con hacer tu gobierno más difícil. Si se lo negamos, otros grupos podrían volverse problemáticos también.;;;;;;;;;x
meneth.413.a;Lower the taxes;;;;Bajar los impuestos;;;;;;;;;x
meneth.413.b;Keep the taxes high and force them into the army;;;;Mantener los impuestos altos y obligarles a alistarse;;;;;;;;;x
meneth.413.c;Give them some autonomy;;;;Darles algo de autonomía;;;;;;;;;x
meneth.414.desc;The unrest caused by the Bulgarians has spread to [Root.GetName].;;;;El conflicto causado por los búlgaros se ha extendido a [Root.GetName].;;;;;;;;;x
meneth.415.desc;The unrest caused by the Bulgarians has dissipated from [Root.GetName].;;;;El conflicto causado por los búlgaros se ha mitigado en [From.GetName].;;;;;;;;;x
meneth.416.desc;The Emperor has decided to ignore the Bulgarian demands for autonomy, and as a result there is now constant unrest amongst the Bulgarian population. Members of other ethnic groups have used this as an opportunity to express their discontent with the empire. We can expect this unrest to leave a lasting impact on the empire.;;;;El emperador ha decidido ignorar las demandas búlgaras de mayor autonomía, lo que ha provocado disturbios constantes en la población de Bulgaria. Otros grupos étnicos han aprovechado la oportunidad para mostrar su descontento con el imperio. Estos disturbios tendrán un gran impacto en el imperio.;;;;;;;;;x
meneth.416.a;This concerns us greatly as our lands are affected;;;;Esto nos preocupa mucho porque afecta a nuestras tierras.;;;;;;;;;x
meneth.416.b;Luckily our lands remain unaffected;;;;Por suerte, esto no afecta a nuestras tierras.;;;;;;;;;x
meneth.417.desc;The Emperor has decided to grant the Bulgarians significant autonomy within the empire, placating them. For now.;;;;El emperador ha decidido conceder a los búlgaros una autonomía significativa, calmando los ánimos. Por ahora.;;;;;;;;;x
meneth.418.desc;The Bulgarians are rising against our rule, and war is inevitable unless we give into their demands.;;;;Los búlgaros se están rebelando contra tu gobierno, y la guerra es inevitable a menos que accedas a sus demandas.;;;;;;;;;x
meneth.418.a;Give them independence;;;;Darles la independencia;;;;;;;;;x
meneth.418.b;To war!;;;;¡A la guerra!;;;;;;;;;x
meneth.419.desc;Have some free troops;;;;Darles algunas tropas;;;;;;;;;x
meneth.423.desc;Now that we have managed to retake all of Iconium our rightful rule of all of Anatolia is once more recognized.;;;;Ahora que logramos retomar todo el Iconium, se ha vuelto a reconocer nuestro legítimo derecho a gobernar toda Anatolia.;;;;;;;;;x
meneth.428.desc;Now that we have held onto the position of emperor for several years our Bulgarian kin has come to understand that the reasons for their unrest have come to an end. This can only be good.;;;;Tras haber mantenido la posición de emperador durante tantos años, nuestros parientes búlgaros han comprendido que los disturbios deben acabar. Mejor que mejor.;;;;;;;;;x
meneth.420.desc;We now hold the kingdom of Galicia, but there is no prestige in holding this title, so it shall be lost to the annals of history.;;;;Ahora posees el reino de Galicia, pero no hay ningún prestigio en ostentar este título, así que se perderá en los anales de la historia.;;;;;;;;;x
meneth.421;Quest to Reclaim the Holy Land;;;;Gesta para reclamar Tierra Santa.;;;;;;;;;x
meneth.421.desc;The Holy Land has been in the hands of the Heathens for far too long now. It is time we took back what is ours by the grace of God. A Crusade for Jerusalem is imminent.;;;;La Tierra Santa ha estado en manos de paganos demasiado tiempo. Es hora de recuperar lo que es nuestro por gracia de Dios. Una cruzada por Jerusalén es inminente.;;;;;;;;;x
meneth.421.a;Deus Vult!;;;;¡Deus vult!;;;;;;;;;x
meneth.421.b;I'd like to see the infidels try!;;;;¡A ver cómo lo intentan los infieles!;;;;;;;;;x
meneth.421.c;What concern is this for me?;;;;¿Por qué preocuparme por esto?;;;;;;;;;x
meneth.422.desc;Now that we are recognized as the rightful king of Portugal we shall claim our rightful lands once more!;;;;Ahora que eres el legítimo rey de Portugal, podremos reclamar las tierras que nos pertenecen por derecho.;;;;;;;;;x
meneth.424.desc;With our recent conquest of England we should form a small army to deal with any revolts.;;;;Con la reciente conquista de Inglaterra deberías formar un pequeño ejército para manejar las rebeliones.;;;;;;;;;x
meneth.425.desc;With how far removed we are from William the Conqueror, the Norman Company no longer has any loyalty to us.;;;;Con lo lejos que estamos de Guillermo el Conquistador, la Compañía Normanda ha dejado de serte leal.;;;;;;;;;x
meneth.426.desc;With the Magyars settled in the Carpathian Basin, we can now move away from our enemies into their former territory.;;;;Ahora que los magiares se han establecido en la cuenca de Cárpato, podemos alejarnos de ellos en su antiguo territorio.;;;;;;;;;x
meneth.427;Holy Roman Empire formed;;;;Formado el Sacro Imperio Romano;;;;;;;;;x
meneth.427.desc;A new empire has been formed from German and Italian lands, claiming it is the one true successor to Rome. It is a decentralized realm, but still one that could potentially rise to greatness.;;;;Se ha formado un nuevo imperio con tierras alemanas e italianas, que afirma ser el sucesor de Roma. Es un reino descentralizado, pero tiene potencial para alcanzar la grandeza.;;;;;;;;;x
meneth.437.desc;A new empire has been formed from French and Italian lands, claiming it is the one true successor to Rome. It is a decentralized realm, but still one that could potentially rise to greatness.;;;;Se ha formado un nuevo imperio con tierras alemanas e italianas, que afirma ser el sucesor de Roma. Es un reino descentralizado, pero tiene potencial para alcanzar la grandeza.;;;;;;;;;x
meneth.601.a;Interesting;;;;Interesante;;;;;;;;;x
pb_rr.0.title;New Face For The Nobility;;;;Caras nuevas para la nobleza;;;;;;;;;x
pb_rr.0.desc;This scenario customization option allows you to give a random face to all historical rulers and their courtiers worldwide.  They will receive a new, realistic, and coherent set of random personality, education, and congenital traits. New family traits which arise will also potentially be inherited by all living descendants. Project Balance features a significantly extended trait set, so startup characters can benefit from all of them.\n\nWorld politics will be fundamentally altered: wars will be waged that would not have been, the strong may become weak, and the weak may become strong.\n\nGenerating an all new cast of characters takes time: behind the scenes, this event will fire tens of thousands of other events before it completes, taking up to 25-50 seconds. Don't be alarmed by the delay: it is guaranteed to finish.\n;;;;Esta personalización de escenario permite poner una cara aleatoria a todos los gobernantes y cortesanos del mundo. Recibirán un conjunto aleatorio de personalidad, educación y rasgos, nuevos, realistas y coherentes. Los nuevos rasgos pueden ser heredados por todos los descendientes. Así podrás beneficiarte de los nuevos rasgos desde el principio.\n\nLa política mundial será fundamentalmente distinta, con guerras que no fueron y poderes diferentes.\n\nGenerar todos los personajes lleva tiempo, 25-50 segundos. No te alarmes, te garantizamos que se completa.\n;;;;;;;;;x
pb_rr.0.opt.ai_only;I'm fine with my character as it is. Randomize AI characters only.;;;;Me gusta mi personaje. Cambia a todos los demás.;;;;;;;;;x
pb_rr.0.opt.all;Randomize all characters, including mine.;;;;Todos los personajes aleatorios, incluso el mío.;;;;;;;;;x
pb_rr.0.opt.cancel;No thanks. I'll stick to the usual suspects for now...;;;;No gracias, prefiero malo conocido...;;;;;;;;;x
pb_rr.0.opt.ai_only.ctt;All players' traits will remain the same, but AI characters' will be randomized.\n;;;;Los rasgos de tu personaje permanecerán igual, los personajes de la IA serán aleatorios.\n;;;;;;;;;x
pb_rr.0.opt.all.ctt;The traits of all players and AI characters alike will be randomized.\n;;;;Tanto los rasgos de tu personaje como los de la IA serán aleatorios.\n;;;;;;;;;x
pb_rr.0.opt.cancel.ctt;Nothing new and interesting will ever happen in your games-- never, ever again.\n;;;;Nada nuevo e interesante ocurrirá en tus juegos... nunca jamás.\n;;;;;;;;;x
PB_specialization.0.desc;You asked [Root.Guardian.GetTitledFirstName] to teach you about how to act at court.;;;;;;;;;;;;;x
PB_specialization.1.desc;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of diplomacy.;;;;;;;;;;;;;x
