#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS #####
obj_increase_demesne_12_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_independence_title;Gain Independence;;;;Conseguir la independencia;;;;;;;;;x
obj_independence_desc;[This.GetTitledFirstName] wants to become independent of [This.GetHerHis] liege.;;;;[This.GetTitledFirstName] quiere conseguir la independencia de su señor.;;;;;;;;;x
obj_lower_decadence50_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence50_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence55_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence55_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence60_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence60_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence65_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence65_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence70_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence70_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence75_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence75_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_lower_decadence80_title;Reduce Dynastic Decadence;;;;Reducir la decadencia dinástica;;;;;;;;;x
obj_lower_decadence80_desc;[This.GetTitledFirstName] wants to reduce the decadence of [This.GetHerHis] dynasty.;;;;[This.GetTitledFirstName] quiere reducir la decadencia de su dinastia.;;;;;;;;;x
obj_pledge_peace_title;Pledge Peace to My Vassals;;;;Jurar paz a mis vasallos;;;;;;;;;x
obj_pledge_peace_desc;[This.GetTitledFirstName] commits to no offensive war for §Y15§! years. In return, [This.GetSubjectPronoun] will appreciate significantly improved vassal opinion and a strong liege levy boost for the pledge's duration. [This.GetSubjectPronounCap] will face a penalty if [This.GetPossPronoun] pledge is canceled prematurely, but it may nevertheless be canceled within §Y1§! year if [This.GetSubjectPronoun] absolutely must go to war.\n\n§MNOTE:§! Participating in a faction revolt doesn't break the pledge UNLESS leading the rebellion. Likewise, joining wars as an ally does NOT break the pledge.\n;;;;[This.GetTitledFirstName] se compromete a no iniciar guerras defensivas durante §Y15§! años. A cambio, sus vassalos le apreciarán, mejorando su opinión y estimulando significativamente la leva mientras dure el juramento. [This.GetElEllaCap] sufrirá una penalización si rompe el juramento, aunque se puede renunciar a él en §Y1§! si la guerra es necesaria.\n\n§MNOTA:§! Participar en una revulta de facción no rompe el juramento A NO SER que lideres la rebelión. De la misma forma, unirte a guerras como aliado NO rompe el juramento.\n;;;;;;;;;x
obj_strengthen_religion_desc;[This.GetTitledFirstName] wants to see the authority of the §Y[Root.Religion.GetName]§! Religion strengthened, as it is currently below §Y30%§!.;[This.Get_Le_TitledFirstName][This.GetTitledFirstName] veut voir l'autorité de la religion §Y[Root.Religion.GetName]§! renforcée, puisqu'elle est actuellement en dessous de §Y30%§!.;[This.GetTitledFirstName] möchte die Autorität der §Y[Root.Religion.GetName]en§! Religion gestärkt sehen, da sie momentan niedriger als §Y30%§! ist.;;[This.GetTitledFirstName] quiere ver reforzada la autoridad del §Y[Root.Religion.GetName]§!, pues ahora mismo está debajo del §Y30%§!.;;;;;;;;;x
obj_ten_children_title;Have Ten Children;;;;Tener diez hijos;;;;;;;;;x
obj_ten_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;[This.GetTitledFirstName] quiere una gran familia que transmita su legado.;;;;;;;;;x
obj_twenty_children_title;Have Twenty Children;;;;Tener veinte hijos;;;;;;;;;x
obj_twenty_children_desc;[This.GetTitledFirstName] wants a huge family and many-- so damn many-- children to carry on [This.GetHerHis] legacy.;;;;[This.GetTitledFirstName] quiere tener una familia gigante con muchos -muchísimos- hijos que transmitan su legado.;;;;;;;;;x
obj_win_holy_war_title;Win a Holy War;;;;Ganar una Guerra Santa;;;;;;;;;x
obj_win_holy_war_desc;[This.GetTitledFirstName] would like to crush the infidel under his boot and win a holy war.;;;;A [This.GetTitledFirstName] le gustaría aplastar al infiel bajo su bota y ganar una guerra santa.;;;;;;;;;x
obj_win_war_title;Win a War;;;;Ganar una guerra;;;;;;;;;x
obj_win_war_desc;[This.GetTitledFirstName] would like to win a war.;;;;A [This.GetTitledFirstName] le gustaría ganar una guerra.;;;;;;;;;x
#### CHARACTER MODIFIERS ####
emf_obj_win_holy_war_success;Victorious Holy War Ambition Success;;;;Guerra Santa victoriosa;;;;;;;;;x
emf_obj_win_holy_war_success_desc;This character recently participated in a victorious holy war, fulfilling the ambition §YWin a Holy War§!.;;;;Este personaje ha ganado recientemente una guerra santa, satisfaciendo su ambición de §YGanar una Guerra Santa§!.;;;;;;;;;x
emf_obj_win_war_success;Victorious War Ambition Success;;;;Guerra victoriosa;;;;;;;;;x
emf_obj_win_war_success_desc;This character recently participated in a victorious war, fulfilling the ambition §YWin a War§!.;;;;Este personaje ha ganado recientemente una guerra, satisfaciendo su ambición de §YGanar una guerra§!.;;;;;;;;;x
emf_peace_pledge;Peace Pledge;;;;Jurar Paz;;;;;;;;;x
emf_peace_pledge_aborted;Broken Peace Pledge;;;;Juramento de Paz roto;;;;;;;;;x
#### TOOLTIPS ####
emf_ctt_obj_civilize_province_abort;Stewardship will be restored §Y1§! point.\n;;;;Se restaurará §Y1§! punto de Administración.;;;;;;;;;x
emf_ctt_obj_civilize_province_creation;[This.GetTitledFirstName]'s stewardship will be reduced by §Y1§! while [This.GetSheHe] is promoting cultural unity.\n;;;;Se le reducirá §Y1§! punto de administración a [This.GetTitledFirstName] mientras promueve la unidad cultural.\n;;;;;;;;;x
emf_ctt_obj_civilize_province_first;Gain an additional §G1§! stewardship!\n;;;;¡Ganar §G1§! punto adicional en administración!;;;;;;;;;x
emf_ctt_obj_civilize_province_success;[This.Culture.GetName] culture is spread to any province within my realm.\n;;;;La cultura [This.Culture.GetName] se extenderá a cualquier provincia de mi reino.\n;;;;;;;;;x
emf_ctt_obj_convert_province_success;[This.Religion.GetName] religion is spread (via Proselytize only) by my [This.job_spiritual.GetJobTitle] to any province within my realm.\n;;;;Mi [This.job_spiritual.GetJobTitle] extenderá la religión [This.Religion.GetName] (via Proselitismo) a cualquier provincia de mi reino.\n;;;;;;;;;x
emf_ctt_obj_great_council_success;All of my councilors have a skill level of §Y18§! or more.\n;;;;Todos mis consejeros tienen una habilidad de §Y18§! o más.\n;;;;;;;;;x
emf_ctt_obj_pledge_peace;§Y[This.GetTitledFirstName]§! upholds [This.GetHerHis] pledge of peace for §Y15§! years, waging no offensive wars.;;;;§Y[This.GetTitledFirstName]§! mantiene un juramento de paz por §Y15§!, sin librar ninguna guerra.;;;;;;;;;x
emf_ctt_obj_win_holy_war;§Y[This.GetTitledFirstName]§! wins a religious war.;;;;§Y[This.GetTitledFirstName]§! gana una guerra religiosa.;;;;;;;;;x
emf_ctt_obj_win_war;§Y[This.GetTitledFirstName]§! wins a war.;;;;§Y[This.GetTitledFirstName]§! gana una guerra.;;;;;;;;;x
tooltip_obj_strengthen_religion;To complete the ambition you need to perform §Y3§! of the following tasks:\n §Y*§! Win a Holy War\n §Y*§! Successfully defend against a Holy War\n §Y*§! Construct a Temple\n §Y*§! Convert a Province to [This.Religion.GetName]\n\nNote that you can complete the same task multiple times.\n\nTasks currently completed: §G[This.strengthen_religion.GetValue]§!;Pour compléter l'ambition, vous devez exécuter §Y3§! des tâches suivantes:\n§Y*§! Gagner une guerre sainte\n§Y*§! Se défendre avec succès contre une guerre sainte\n§Y*§! Construire un temple\n§Y*§! Convertir un comté à la religion [This.Religion.GetName] \n\nNotez que vous pouvez accomplir la même tâche plusieurs fois.\n\nLes tâches actuellement terminées: §G[This.strengthen_religion.GetValue]§!;Um diese Ambition zu erfüllen, müsst Ihr §Y3§! der folgenden Aufgaben ausführen:\n §Y*§! Einen Heiligen Krieg gewinnen\n §Y*§! Erfolgreich einen Heiligen Krieg verteidigen\n §Y*§! Einen Tempel bauen\n §Y*§! Eine Provinz zu [This.Religion.GetName] konvertieren\n\nBeachte, dass die gleiche Aufgabe mehrmals erfüllt werden kann.\n\nMomentan abgeschlossen: §G[This.strengthen_religion.GetValue]§!;;Para completar esta ambición necesitas realizar §Y3§! de las siguientes tareas:\n §Y*§! Ganar una Guerra Santa\n §Y*§! Defenderse satisfactoriamente de una Guerra Santa\n §Y*§! Construir un templo\n §Y*§! Convertir una provincia a la fe [This.Religion.GetName]\n\nPuedes completar estas tareas múltiples veces.\n\nTareas actualmente completadas: §G[This.strengthen_religion.GetValue]§!;;;;;;;;;x
