#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### TOOLTIPS ####
tooltip_elder_vote_strength_elders_ruler_too_young;Elder Hegemony over Young Ruler;;;;;;;;;;;;;x
tooltip_pictish_elector_vote_not_related_through_female_line;[From.GetSheHeCap] is not closely related through a direct female line to any past or present ruler of the [FromFrom.GetFullBaseName];;;;;;;;;;;;;x
tooltip_feudal_elector_vote_rome_child;The [FromFrom.GetFullName] is not to be ruled by a child;[FromFrom.Get_le_RealmFull] ne doit pas être gouvernée par un enfant;[FromFrom.GetFullName] soll nicht von einem Kind regiert werden;;[FromFrom.Get_el_RealmFull] no será gobernada por un niño;;;;;;x
tooltip_feudal_elector_vote_holder_approves;I trust [From.GetSheHe] can uphold my family's legacy after I am gone;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_holder_sticky;[From.GetSheHeCap] is of my dynasty and already has the electors' approval;;;;;;;;;;;;;x
tooltip_elder_elector_vote_ecstatic_candidate;I am satisfied with any reasonable choice;Je suis satisfait[Root.Get_E] de tout choix raisonnable;Ich bin mit jeder vernünftigen Wahl zufrieden;;Me satisface cualquier elección razonable;;;;;;;;;x
tooltip_feudal_elector_vote_intrigue_education;[From.GetSheHeCap] is a spy;C'est un[From.Get_E] espion[From.GetNNne];[From.GetSheHeCap] ist [From.Geteineine] Spion[From.GetinFemale];;Es un[From.GetXA] espía;;;;;;;;;x
tooltip_feudal_elector_vote_too_little_dynastic_prestige;[From.GetSheHeCap] is from an obscure dynasty;[From.GetSheHeCap] est d'une obscure dynastie;[From.GetSheHeCap] stammt aus einer obskuren Dynastie;;Es de una oscura dinastía;;;;;;;;;x
tooltip_feudal_elector_vote_dynastic_prestige;§YDynastic Prestige§! of [From.GetTitledFirstName];§YPrestige dynastique§! [From.Get_only_du_Title][From.GetTitledFirstName];§YDynastisches Prestige§! von [From.GetTitledFirstName];;§YPrestigio dinástico§! del[From.GetaFemale] [From.GetTitledFirstName];;;;;;;;;x
tooltip_imperial_vote_strength_emperor_diplomacy_or_intrigue;§YDiplomacy§! or §YIntrigue§! as §Y[Root.GetTitle]§!;§YDiplomatie§! ou §Yintrigue§! en tant qu[Root.Get_only_e_Title]§Y[Root.GetTitle]§!;§YDiplomatie§! oder §YIntrige§! als §Y[Root.GetTitle]§!;;§YDiplomacia§! o §Yintriga§! como §Y[Root.GetTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_emperor_regency;In a §YRegency§!;Dans une §Yrégence§!;In einer §YRegentschaft§!;;En una §Yregencia§!;;;;;;;;;x
tooltip_imperial_vote_strength_elector_regent;§YRegent§!;§YRégent§!;§YRegent§!;;§YRegente§!;;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige;§YPrestige§! of [Root.GetTitledFirstName];§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName];§YPrestige§! von [Root.GetTitledFirstName];;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName];;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_100;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 100);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 100);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 100);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 100);;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_333;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 333);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 333);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 333);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 333);;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_714;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 714);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 714);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 714);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 714);;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_1000;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 1000);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 1000);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 1000);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 1000);;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_1667;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 1667);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 1667);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 1667);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 1667);;;;;;;;;x
tooltip_imperial_vote_strength_elector_prestige_cap_2000;§YPrestige§! of [Root.GetTitledFirstName] (Capped at 2000);§YPrestige§! [Root.Get_only_du_Title][Root.GetTitledFirstName] (Plafonné à 2000);§YPrestige§! von [Root.GetTitledFirstName] (maximal bei 2000);;§YPrestigio§! del[Root.GetaFemale] [Root.GetTitledFirstName] (Límite a 2000);;;;;;;;;x
tooltip_imperial_vote_strength_commander_martial;§YMartial§! as a §YCommander§!;§YMartialité§! en tant que §Ycommandant[Root.Get_E]§!;§YKriegskunst§! als §YBefehlshaber[Root.GetinFemale]§!;;§YMarcial§! como §Ycomandante§!;;;;;;;;;x
tooltip_imperial_vote_strength_chancellor_diplomacy;§YDiplomacy§! as §Y[Root.GetJobTitle]§!;§YDiplomatie§! en tant qu[Root.Get_only_e_JobTitle]§Y[Root.GetJobTitle]§!;§YDiplomatie§! als §Y[Root.GetJobTitle]§!;;§YDiplomacia§! como §Y[Root.GetJobTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_marshal_martial;§YMartial§! as §Y[Root.GetJobTitle]§!;§YMartialité§! en tant qu[Root.Get_only_e_JobTitle]§Y[Root.GetJobTitle]§!;§YKriegskunst§! als §Y[Root.GetJobTitle]§!;;§YMarcial§! como §Y[Root.GetJobTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_steward_stewardship;§YStewardship§! as §Y[Root.GetJobTitle]§!;§YIntendance§! en tant qu[Root.Get_only_e_JobTitle]§Y[Root.GetJobTitle]§!;§YVerwaltung§! als §Y[Root.GetJobTitle]§!;;§YAdministración§! como §Y[Root.GetJobTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_spymaster_intrigue;§YIntrigue§! as §Y[Root.GetJobTitle]§!;§YIntrigue§! en tant qu[Root.Get_only_e_JobTitle]§Y[Root.GetJobTitle]§!;§YIntrige§! als §Y[Root.GetJobTitle]§!;;§YIntriga§! como §Y[Root.GetJobTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_chaplain_learning;§YLearning§! as §Y[Root.GetJobTitle]§!;§YÉrudition§! en tant qu[Root.Get_only_e_JobTitle]§Y[Root.GetJobTitle]§!;§YBildung§! als §Y[Root.GetJobTitle]§!;;§YAprendizaje§! como §Y[Root.GetJobTitle]§!;;;;;;;;;x
tooltip_imperial_vote_strength_diplomacy_or_intrigue;§YDiplomacy§! or §YIntrigue§! as a politician;§YDiplomatie§! ou §Yintrigue§! en tant qu'un[Root.Get_E] politicie[Root.GetNNne];§YDiplomatie§! oder §YIntrige§! als ein[Root.GeteFemale] Politiker[Root.GetinFemale];;§YDiplomacia§! o §Yintriga§! un[Root.GetXA] polític[Root.GetOA];;;;;;;;;x
tooltip_feudal_elector_vote_prestige;§YPrestige§! of [From.GetTitledFirstName];§YPrestige§! [From.Get_only_du_Title][From.GetTitledFirstName];§YPrestige§! von [From.GetTitledFirstName];;§YPrestigio§! del[From.GetaFemale] [From.GetTitledFirstName];;;;;;;;;x
tooltip_feudal_elector_vote_piety;§Y[From.Religion.GetPietyName]§! of [From.GetTitledFirstName];§Y[From.Religion.GetPietyName]§! [From.Get_only_du_Title][From.GetTitledFirstName];§Y[From.Religion.GetPietyName]§! von [From.GetTitledFirstName];;§Y[From.Religion.GetPietyName]§! del[From.GetaFemale] [From.GetTitledFirstName];;;;;;;;;x
tooltip_feudal_elector_vote_commander_martial;§YMartial§! as a §YCommander§!;§YMartialité§! en tant que §Ycommandant[From.Get_E]§!;§YKriegskunst§! als §YBefehlshaber[From.GetinFemale]§!;;§YMarcial§! como §Ycomandante§!;;;;;;;;;x
tooltip_feudal_elector_vote_marshal_martial;§YMartial§! as §Y[From.GetJobTitle]§!;§YMartialité§! en tant qu[From.Get_only_e_JobTitle]§Y[From.GetJobTitle]§!;§YKriegskunst§! als §Y[From.GetJobTitle]§!;;§YMarcial§! como §Y[From.GetJobTitle]§!;;;;;;;;;x
tooltip_feudal_elector_vote_councilor_diplomacy_or_intrigue;§YDiplomacy§! or §YIntrigue§! as a politician;§YDiplomatie§! ou §Yintrigue§! en tant qu'un[From.Get_E] politicie[From.GetNNne];§YDiplomatie§! oder §YIntrige§! als ein[From.GeteFemale] Politiker[From.GetinFemale];;§YDiplomacia§! o §Yintriga§! un[From.GetXA] polític[From.GetOA];;;;;;;;;x
