#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
# Former religion head was sacrificed by other faith
emf_crier.50.title;The [FromFrom.RelHead.GetTitle] is Dead;;;;El [FromFrom.RelHead.GetTitle] ha muerto;;;;;;;;;x
emf_crier.50.desc_other;Rumors spreading through your realm say that a [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] has been taken prisoner and was recently sacrificed at a ritual by [Root.GetBestName]. If true, it may signal the growing power of the [Root.Religion.GetName] people and the waning of the [FromFrom.Religion.GetGroupName]s. How powerful can they be, if they cannot protect their spiritual leaders?;;;;Los rumores extendidos a través del reino dicen que [FromFrom.GetElLa] [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] ha sido tomad[FromFrom.GetOA] prisionero y sacrificad[FromFrom.GetOA] en un ritual por  [Root.GetBestName]. De ser cierto, podría ser una señal del creciente poder de los [Root.Religion.GetName] y del fin de los [FromFrom.Religion.GetGroupName]s. ¿Cuán poderosos pueden ser, si no puede proteger a sus líderes espirituales?;;;;;;;;;x
emf_crier.50.a;[Root.Religion.GetHighGodName] is triumphant!;;;;¡[Root.Religion.GetHighGodName] triunfa!;;;;;;;;;x
emf_crier.50.b;Let them try. [Root.Religion.GetRandomGodName] is with us!;;;;Deja que lo intenten. ¡[Root.Religion.GetRandomGodName] está con nosotros!;;;;;;;;;x
emf_crier.50.c;[FromFrom.Religion.GetHighGodName] defend us.;;;;[FromFrom.Religion.GetHighGodName] defiéndenos.;;;;;;;;;x
emf_crier.50.d;These [Root.Religion.GetName] folk might be trouble...;;;;Estos [Root.Religion.GetName] podrían ser un problema...;;;;;;;;;x
emf_crier.50.e;[FromFrom.Religion.GetRandomGodNameCap] fails them once again.;;;;[FromFrom.Religion.GetRandomGodNameCap] les falla otra vez.;;;;;;;;;x
# Notify other players of a fellow player's death
emf_crier.201.desc;Fellow player §Y[From.GetBestName]§! [From.GetDeathReason].;;;;El jugador §Y[From.GetBestName]§! ha muerto por [From.GetDeathReason].;;;;;;;;;x
# Announce new empire
emf_crier.251.title;Founding of an Empire;;;;Fundar un Imperio;;;;;;;;;x
emf_crier.251.desc_owner;Your realm stretches from horizon to horizon. The armies you command have crushed all foes. The prosperity of your people is undeniable. Clearly you are favored by [Root.Religion.GetHighGodName], and it seems fitting and just that you should be called [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName] and exalted above other rulers.\n\nThere will surely still be challenges ahead, but under your leadership the [Root.Culture.GetName] people enter a new age. Whether that age is one of further glory or ultimate destruction will be determined by your guiding hand.;;;;Tu reino se extiende de un horizonte a otro. Tus ejércitos aplastan a todos tus enemigos. La prosperidad de tu gente es innegable. Claramente estás favorecido por [Root.Religion.GetHighGodName], y parece justo que seas nombrad[FromFrom.GetOA] [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName] y aclamad[FromFrom.GetOA] sobre otros gobernantes.\n\n.Seguro que te esperan muchos retos, pero bajo tu liderazgo comienza una nueva era. Si se trata de una era de gloria o de destrucción lo determinará tus decisiones.;;;;;;;;;x
emf_crier.251.desc_owner_catholic;With the undeniable might of your realm and the flourishing of your people as the justification, you have named yourself [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName]. No one dares question your power in the earthly domain.\n\nBut even now many are whispering of the boldness, and perhaps even the presumption, of naming yourself as such. Are you deserving of such a title? Is that not for God to decide? What does the Holy Father say? Without Papal blessing, it may be difficult to convince even your own loyal subjects of your right to call yourself [FromFrom.GetRulerTitle].;;;;Con el innegable poder de tu reino y el bienestar de tu gente como justificacion, te has titulado [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName]. Nadie se atreve a cuestionar tu poder en el plano terrenal.\n\nPero aún hay quienes cuchichean sobre la audacia, y tal vez atrevimiento, de nombrarte a ti mismo como tal. ¿Te mereces ese título? ¿No es cosa de Dios decidirlo? ¿Qué dirá el Santo Padre? Sin la bendición Papal, puede que sea difícil convencer hasta a tus más leales súbditos del derecho de llamarte a ti mism[FromFrom.GetOA] [FromFrom.GetRulerTitle].;;;;;;;;;x
emf_crier.251.desc_other_catholic;[Root.GetDynName] has declared [Root.GetReflexivePronoun] to be [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName]. It is surely good news that such a mighty Catholic power has risen in this troubled world, and its success may imply that [Root.Religion.GetHighGodName] favors it. But while its might cannot be questioned, claiming the title of Emperor seems a presumptuous move when the Pope has not offered his assent or blessing.;;;;[Root.GetDynName] se ha declarado [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName]. Sin duda buenas noticias que un[FromFrom.GetOA] Católic[FromFrom.GetOA] tan poderos[FromFrom.GetOA] se haya alzado en este mundo caótico, su éxito significa que [Root.Religion.GetHighGodName] le favorece. Pero aunque eso sea indudable, reclamar el título de Emperador[FromFrom.GetXA] parece atrevido más cuando el Papa no ha ofrecido su bendición.;;;;;;;;;x
emf_crier.251.desc_other_samerel;[Root.GetDynName] has declared [Root.GetReflexivePronoun] to be [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName]. It is surely good news that such a mighty [Root.Religion.GetName] power has risen in this troubled world, and its success may imply that [Root.Religion.GetHighGodName] favors it. Perhaps this is the beginning of a new and glorious era for the [Root.Religion.GetName] faith.;;;;[Root.GetDynName] se ha proclamado [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName]. Sin duda buenas noticias que un [Root.Religion.GetName] tan poderoso se haya levantado en este mundo caótico, y su éxito implica que [Root.Religion.GetHighGodName] le favorece. Tal vez esto sea el comoienzo de una nueva y gloriosa era para la fe [Root.Religion.GetName].;;;;;;;;;x
emf_crier.251.desc_other_samegroup;[Root.GetDynName] has declared [Root.GetReflexivePronoun] to be [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName]. The [Root.Religion.GetName] faith now has a mighty representative in the earthly domain. But whether they will be good allies to their fellow [Root.Religion.GetGroupName]s remains to be seen.;;;;[Root.GetDynName] se ha proclamado [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName]. La fe [Root.Religion.GetName] tiene ahora un poderoso representante en la Tierra. Pero si será un buen aliado de los otros [Root.Religion.GetGroupName]s aún está por ver.;;;;;;;;;x
emf_crier.251.desc_other_difgroup;[Root.GetDynName], a heathen [Root.Religion.GetName], has declared [Root.GetReflexivePronoun] the so-called [FromFrom.GetRulerTitle] of [FromFrom.GetBaseName]. Even though he makes a mockery of the very title itself, his power is undeniable. All [This.Religion.GetGroupName]s would do well to be cautious and avoid underestimating this new rival.;;;;[Root.GetDynName], un pagano [Root.Religion.GetName], se ha proclamado [FromFrom.GetRulerTitle] de [FromFrom.GetBaseName]. A pesar de que se burla del mismo título, su poder es innegable. Todos los [This.Religion.GetGroupName]s harían bien en ser cautelosos y evitar subestimar a este nuevo rival.;;;;;;;;;x
emf_crier.251.a;May our future reign be glorious!;;;;¡Que nuestro reinado sea próspero!;;;;;;;;;x
emf_crier.251.b;I'm sure Papal approval is a mere formality.;;;;La aprovación Papal es una mera formalidad.;;;;;;;;;x
emf_crier.251.c;Surely the Pope must be consulted?;;;¿Seguro que el Papa debe ser consultado?;;;;;;;;;x
emf_crier.251.d;Fantastic!;;;;¡Fantástico!;;;;;;;;;x
emf_crier.251.e;At least we believe in the same God?;;;;¿Al menos creemos en el mismo Dios?;;;;;;;;;x
emf_crier.251.f;This does not bode well.;;;;Esto no pinta bien.;;;;;;;;;x
# Announce new kingdom
# Announce empire destruction
emf_crier.253.title;End of an Empire;;;;Fin del Imperio;;;;;;;;;x
emf_crier.253.desc;Whether by external pressures or internal corruption, the [emf_crier_dead_title.GetFullName] has been reduced to a remnant of its former glory. No longer seen as a true empire by others, nor able to deem itself as such without risking blasphemy, it has succumbed to its weakness and is forfeit.\n\n[From.GetDynName], the former [From.GetEmperorEmpress], has surrendered [From.GetPossPronoun] imperial crown and accepted the lesser title [From.GetTitle] of [From.PrimaryTitle.GetBaseName].;;;;Ya sea por presiones externas o corrupción interna, el [emf_crier_dead_title.GetFullName] ha sido reducido a un recuerdo de su antigua gloria. Ya no era considerado un imperio por los demás, ni considerarse como tal sin arriesgarse a la blasfemia, ha sucumbido a su debilidad y está perdido.\n\n[From.GetDynName], [From.GetElLa] antigu[From.GetOA] [From.GetEmperorEmpress], ha entregado la corona imperial y ha aceptado el título menor del [From.GetTitle] de [From.PrimaryTitle.GetBaseName].;;;;;;;;;x
emf_crier.253.desc_hre;Charlemagne's once great empire has submitted to a final, inglorious fate and is undone. The dream of reviving the Roman Empire in the West has ended in the same decline and ultimate destruction as befell the Romans of old.\n\n[From.GetDynName], the [From.GetManWoman] who once claimed the [emf_crier_dead_title.GetFullName] as [From.GetPossPronoun] own, has been reduced to [From.GetTitle] of [From.PrimaryTitle.GetBaseName]—an ignoble fate for the last successor of Charles the Great.;;;;El otrora gran Imperio de Carlomagno ha llegado a su final. El sueño de recuperar el Imperio Romano en Occidente ha terminado en la misma decadencia y destrucción que conocieron los romanos de antaño.\n\n[From.GetDynName], [From.GetElLa] [From.GetManWoman] que reclamó el [emf_crier_dead_title.GetFullName] como suyo, ha sido reducido al [From.GetTitle] de [From.PrimaryTitle.GetBaseName] -un destino innoble para los últimos sucesores de Carlos el Grande.;;;;;;;;;x
emf_crier.253.desc_byz;The Empire of the Romans has fallen! Considered by many to be the inheritor and keeper of the legacy of the Roman Empire, and once surely the foremost bastion of Christendom in the East, the [emf_crier_dead_title.GetFullName] is no more.\n\nWith the Empire broken and Constantinople in the hands of another realm, the former [From.GetEmperorEmpress], [From.GetDynName], has given up [From.GetPossPronoun] imperial throne and become [From.GetTitle] of [From.PrimaryTitle.GetBaseName].;;;;¡El Imperio de Bizancio ha caído! Considerado por muchos el heredero y custodio del legado del Imperio Romano, y otrora el más grande bastión de la Cristiandad en Oriente, el [emf_crier_dead_title.GetFullName], ha sucumbido.\n\nCon el Imperio roto y Constantinopla en manos de otro gobernante, [From.GetElLa] antigu[From.GetOA] [From.GetEmperorEmpress], [From.GetDynName], ha renunciado al trono imperial y se ha convertido en [From.GetTitle] de [From.PrimaryTitle.GetBaseName].;;;;;;;;;x
emf_crier.253.a;I should send [From.GetTitledFirstName] my sympathies.;;;;Debería enviar mis condolencias a [From.GetTitledFirstName].;;;;;;;;;x
emf_crier.253.b;Surely a great misfortune.;;;;Una verdadera lástima.;;;;;;;;;x
emf_crier.253.c;Good riddance.;;;;¡Hasta nunca!;;;;;;;;;x
emf_crier.253.d;Perhaps I can turn this to my advantage.;;;;Puedo hacer de esto mi ventaja.;;;;;;;;;x
# Announce holy site control change
# Announce multiplayer actions
emf_crier.320.desc_me;§Y[FromFrom.GetTitledFirstName]§! has transfered me a sum of [FromFrom.emf_transfer_wealth_amount.GetValue]¤.;;;;§Y[FromFrom.GetTitledFirstName]§! me ha transferido la suma de [FromFrom.emf_transfer_wealth_amount.GetValue]¤.;;;;;;;;;x
emf_crier.320.desc_not_me;§Y[FromFrom.GetTitledFirstName]§! has transfered §Y[From.GetTitledFirstName]§! a sum of [FromFrom.emf_transfer_wealth_amount.GetValue]¤.;;;;§Y[FromFrom.GetTitledFirstName]§! ha transferido a §Y[From.GetTitledFirstName]§! la suma de [FromFrom.emf_transfer_wealth_amount.GetValue]¤.;;;;;;;;;x
#### OPINION MODIFIERS;;;;;;;;;;;;;;x
opinion_sacrificed_religion_head;Sacrificed Head of Religion;;;;Cabeza de la religión sacrificado;;;;;;;;;x
#### RELIGIOUS MODIFIERS;;;;;;;;;;;;;;x
sacrificed_other_religion_head;Sacrificed Head of Other Faith;;;;Cabeza de otra religión sacrificado;;;;;;;;;x
religion_head_sacrificed;Religious Head Sacrificed by Heathens;;;;Cabeza de la religión sacrificado por paganos;;;;;;;;;x
