#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
faction_tradition_desc;The §YTradition Faction§! strives for piety and the supremacy of religion. Mood: [From.EMF_GetInterestFactionMood]\n\nTheir mood is §GIMPROVED§! by:\n§Y*§! Good relations with members\n§Y*§! Granting a landed title to any member\n§Y*§! Any member being appointed to the liege's council\n§Y*§! The liege having high Piety\n§Y*§! Winning religious wars\n§Y*§! Indulgences and charity\n§Y*§! Minimal Clergy Obligations\n\nTheir mood is §RWORSENED§! by:\n§Y*§! Poor relations with members\n§Y*§! High decadence for Muslims\n§Y*§! No member appointed to the liege's council\n§Y*§! The liege having negative Piety\n§Y*§! Losing religious wars\n§Y*§! Changing succession laws\n§Y*§! Higher Clergy Obligations\n§Y*§! Higher Crown Authority (HRE Only)\n§Y*§! High/Max Tribal Organization\n\n§MNOTE:§! This is only a summary. Pay attention to in-game tooltips for cues regarding more faction effects. Faction moods are directly derived from the tier-weighted opinions of all of its members, so simply view a faction member's opinion breakdown to see the factors currently impacting the faction's mood, which is [From.EMF_GetInterestFactionMood].;;;;La §YFaccion de Tradicion§! busca la piedad y la supremacia de la religion. Estado de Animo: [From.EMF_GetInterestFactionMood]\n\nSu estado de animo ha §GMEJORADO§! por:\n§Y*§! Buenas relaciones con sus miembros\n§Y*§! Otorgar un titulo hacendado a cualquier miembro\n§Y*§! Colocar a un miembro en el consejo del señor\n§Y*§! El señor tiene mucha Piedad\n§Y*§! Ganando guerras religiosas\n§Y*§! Indulgencias y caridad\n§Y*§! Obligaciones del Clero Minimas\n\nSu estado de animo ha §REMPEORADO§! por:\n§Y*§! Malas relaciones con los miembros\n§Y*§! Alta decadencia si Musulmanes\n§Y*§! Ningun miembro en el consejo del señor\n§Y*§! El señor tiene Piedad negativa\n§Y*§! Perder guerras religiosas\n§Y*§! Cambiando leyes de sucesion\n§Y*§! Obligaciones del Clero Altas\n§Y*§! Autoridad de la Corona Alta (Solo SIR)\n§Y*§! Organizacion Tribal Alta/Maxima\n\n§MNOTA:§! Esto es solo un resumen. Presta atencion a los consejos dentro del juego para aprender mas sobre los efectos de faccion. Los estados de animo de las faciones están directamente relacionadas con las opiniones de sus miembros ponderadas a su rango, así que simplemente vea el desglose de la opinión de un miembro de la facción para ver los factores que actualmente afectan el estado de ánimo de la facción, que es [From.EMF_GetInterestFactionMood].;;;;;;;;;x
faction_tradition_short;Tradition;;;;Tradicion;;;;;;;;;x
faction_tradition_title;Tradition Faction;;;;Faccion de Tradicion;;;;;;;;;x
pf_loyalist;Loyalist;Loyaliste;;;;Leal;;;;;;;;x
pf_loyalist_desc;This character supports the loyalist side in the civil war.;Ce personnage aide les loyalistes dans la guerre civile;Diese Person steht zu den Loyalisten in diesem Bürgerkrieg.;;Este personaje apoya el bando leal en la guerrra civil.;;;;;;;;;x
pf_neutral;Neutral;;;;;;;;;;;;;x
pf_neutral_desc;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;;;;El personaje ha optado por no apoyar a ningun bando en la guerra civil, y está esperando a ver como se desarrollan los acontecimientos.;;;;;;;;;x
pf_rebel;Rebel;Rebelle;Rebell;;Rebelde;;;;;;;;;x
pf_rebel_desc;This character supports the rebel side in the civil war.;Ce personnage aide les rebelles dans la guerre civile;Diese Person steht zu den Rebellen in diesem Bürgerkrieg.;;Este personaje apoya el bando rebelde en la guerra civil.;;;;;;;;;x
#
# FACTION CUSTOM_LOC
#
EMF_String_Court;Court;;;;Corte;;;;;;;;;x
EMF_String_Glory;Glory;;;;Gloria;;;;;;;;;x
EMF_String_Prosperity;Prosperity;;;;Prosperidad;;;;;;;;;x
EMF_String_Tradition;Tradition;;;;Tradicion;;;;;;;;;x
EMF_String_FRIENDLY;§GFRIENDLY§!;;;;§GAMISTOSO§!;;;;;;;;;x
EMF_String_NEUTRAL;§gNEUTRAL§!;;;;;;;;;;;;;x
EMF_String_OPPOSED;§YOPPOSED§!;;;;§YCONTRARIO§!;;;;;;;;;x
EMF_String_HOSTILE;§RHOSTILE§!;;;;§RHOSTIL§!;;;;;;;;;x
#
# FACTION MODIFIERS
#
attempted_poach_faction;Tried to Poach from my Faction;;;;Intento sacarme de mi faccion;;;;;;;;;x
bad_speech;Bad Speech;Mauvais orateur;;;Discurso malo;;;;;;;;;x
convinced_to_support_liege;Convinced to Support Liege;;;;Convencido de Apoyar al Señor;;;;;;;;;x
faction_agree_liege;Agree on Faction's Stance Towards Liege;;;;Está de acuerdo con la postura de la Faccion hacia el Señor;;;;;;;;;x
faction_approve_CA;Faction Approves of Crown Authority;;;;La Faccion aprueba la Autoridad de la Corona;;;;;;;;;x
faction_approve_council;Faction Approves of Council;;;;La Faccion aprueba el Consejo;;;;;;;;;x
faction_approve_council_term;Faction Approves of Council Terms;;;;La Faccion aprueba los Terminos del Consejo;;;;;;;;;x
faction_approve_levy_privilege;Faction Approves of Levy Privilege;;;;La Faccion Aprueba el Privilegio de Leva;;;;;;;;;x
faction_approve_obligations;Faction Approves of Obligations;;;;La Faccion Aprueba las Obligaciones;;;;;;;;;x
faction_approve_peace;Faction Approves of Peace;;;;La Faccion Aprueba la Paz;;;;;;;;;x
faction_approve_piety;Faction Approves of Piety;;;;La Faccion Aprueba la Piedad;;;;;;;;;x
faction_approve_prestige;Faction Approves of Prestige;;;;La Faccion Aprueba el Prestigio;;;;;;;;;x
faction_approve_tax_privilege;Faction Approves of Tax Privilege;;;;La Faccion Aprueba el Privilegio de Impuestos;;;;;;;;;x
faction_approve_title_grant;Faction Pleased by Title Grant;;;;La Faccion está Satisfecha por la Entrega de Titulos;;;;;;;;;x
faction_approve_TO;Faction Approves of Tribal Organization;;;;La Faccion Aprueba la Organizacion Tribal;;;;;;;;;x
faction_approve_wealth;Faction Approves of Wealth;;;;La Faccion Aprueba la Riqueza;;;;;;;;;x
faction_court_bonus;Court Faction Support;Soutien de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Apoyo de la Faccion de la Corte;;;;;;;;;x
faction_court_bonus_desc;This liege has been rewarded by their vassals from the Court Faction.;;;;Este señor ha sido recompensado por sus vasallos de la Faccion de la Corte.;;;;;;;;;x
faction_disagree_liege;Disagree on Faction's Stance Towards Liege;;;;Desacuerdo con la Postura de la Faccion hacia el Señor;;;;;;;;;x
faction_disapprove_CA;Faction Disapproves of Crown Authority;;;;La Faccion Desaprueba la Autoridad de la Corona;;;;;;;;;x
faction_disapprove_council;Faction Disapproves of Council;;;;La Faccion Desaprueba el Consejo;;;;;;;;;x
faction_disapprove_debt;Faction Disapproves of Debt;;;;La Faccion Desaprueba el Endeudamiento;;;;;;;;;x
faction_disapprove_decadence;Faction Disapproves of Decadence;;;;La Faccion Desaprueba la Decadencia;;;;;;;;;x
faction_disapprove_levy_privilege;Faction Disapproves of Levy Privilege;;;;La Faccion Desaprueba el Privilegio de Leva;;;;;;;;;x
faction_disapprove_obligations;Faction Disapproves of Obligations;;;;La Faccion Desaprueba las Obligaciones;;;;;;;;;x
faction_disapprove_peace;Faction Disapproves of Peace;;;;La Faccion Desaprueba la Paz duradera;;;;;;;;;x
faction_disapprove_piety;Faction Disapproves of Impiety;;;;La Faccion Desaprueba la Impiedad;;;;;;;;;x
faction_disapprove_prestige;Faction Disapproves of Prestige;;;;La Faccion Desaprueba el Prestigio bajo;;;;;;;;;x
faction_disapprove_tax_privilege;Faction Disapproves of Tax Privilege;;;;La Faccion Desaprueba el Privilegio de Impuestos;;;;;;;;;x
faction_disapprove_title_grant;Upset Over Title Grant;;;;Descontento por el Titulo Otorgado;;;;;;;;;x
faction_disapprove_TO;Faction Disapproves of Tribal Organization;;;;La Faccion Desaprueba la Organizacion Tribal;;;;;;;;;x
faction_displeased;Faction Angered;;;;Faccion Enojada;;;;;;;;;x
faction_pleased;Faction Pleased;;;;Faccion Satisfecha;;;;;;;;;x
faction_prosperity_bonus;Prosperity Faction Support;;;;Apoyo de la Faccion de Prosperidad;;;;;;;;;x
faction_prosperity_bonus_desc;This liege has been rewarded by their vassals from the Prosperity Faction.;;;;Este señor ha sido recompensado por sus vasallos de la Faccion de Prosperidad.;;;;;;;;;x
good_speech;Good Speech;Bon orateur;;;Buen Discurso;;;;;;;;;x
great_speech;Great Speech;Grand orateur;;;;Gran Discurso;;;;;;;;x
made_ultimatum;Faction Ultimatum;;;;Ultimatum de Faccion;;;;;;;;;x
okay_speech;Fair Speech;Orateur moyen;;;;Discurso Aceptable;;;;;;;;x
opinion_civil_war_loser;Loser in Civil War;Perdant de la guerre civile;Unterlegener im Bürgerkrieg;;Perdedor en la Guerra Civil;;;;;;;;;x
opinion_civil_war_neutral;Was Neutral in Civil War;;;;Fue Neutral durante la Guerra Civil;;;;;;;;;x
opinion_civil_war_supporter;Was Supporter in Civil War;;;;Apoyo la Guerra Civil;;;;;;;;;x
opinion_dispute;Dispute;;;;Disputa;;;;;;;;;x
opinion_opposed_in_meeting;Opposed me in a vote;S'est opposé à moi dans un vote;;;Se me opuso en una votacion;;;;;;;;;x
opinion_rebuffed_recruitment;Rebuffed Recruitment Attempt;;;;Intento de reclutamiento rechazado;;;;;;;;;x
opinion_supported_in_meeting;Supported me in a vote;M'a soutenu dans un vote;;;Me apoyo en una votacion;;;;;;;;;x
overthrew_me;Overthrew Me;;;;Me Derrocó;;;;;;;;;x
overthrown_ruler;Overthrown Ruler;;;;Gobernante Derrocado;;;;;;;;;x
pf_lcut_ruler;Tracking for Potential Liege Change;;;;Buscando posibles Señores alternativos;;;;;;;;;x
pf_loyal_to_me;Supporting Me During Civil War;;;;Me Apoyo durante la Guerra Civil;;;;;;;;;x
pf_loyal_toward;Supporting During Civil War;;;;Apoyó la Guerra Civil;;;;;;;;;x
pf_neutral_to_me;Did Not Support Me During Civil War;;;;No me apoyó durante la Guerra Civil;;;;;;;;;x
pf_neutral_toward;Remained Neutral During Civil War;;;;Se mantuvo Neutral durante la Guerra Civil;;;;;;;;;x
pleasant_meeting;Pleasant Meeting;;;;Reunion Agradable;;;;;;;;;x
poached_faction_member;Poached Member of my Faction;;;;Captó un Miembro de mi Faccion;;;;;;;;;x
rallied_against_liege;Rallied Against Liege;;;;Se levantó en armas contra el Señor;;;;;;;;;x
revolting_against;Civil War;Guerre civile;Bürgerkrieg;;Guerra Civil;;;;;;;;;x
revolting_against_me;Civil War;Guerre civile;Bürgerkrieg;;Guerra Civil;;;;;;;;;x
spoke_on_lieges_behalf;Spoke on Liege's Behalf;;;;Habló en nombre del Señor;;;;;;;;;x
tax_privileges;Tax Privileges;Régimes fiscaux privilégiés;Steuerprivilegien;;Privilegios de Impuestos;;;;;;;;;x
tax_privileges_desc;This character's liege has rewarded them with a demesne tax bonus, as thanks for their support.;;;;El Señor de este personaje le ha recomensado con una bonificacion de impuestos de heredad, como agradecimiento de su apoyo.;;;;;;;;;x
tax_reduction;Tax Reduction;Réduction de taxes;Steuerermäßigung;;Reduccion de Impuestos;;;;;;;;;x
tax_reduction_desc;This province's taxes has been reduced, as per the dictate of the liege.;;;;Esta provincia disfruta de impuestos reducidos, por orden del Señor.;;;;;;;;;x
terrible_speech;Awful Speech;Orateur consternant;;;Discurso Horrible;;;;;;;;;x
turned_against_liege;Turned Against Liege;;;;Se Rebeló contra el Señor;;;;;;;;;x
ultimatum_refused;Rejected faction demands;A rejeté les exigences de la faction;;;Rechazó las demandas de la Faccion;;;;;;;;;x
unpleasant_meeting;Unpleasant Meeting;;;;Reunion desagradable;;;;;;;;;x
upset_faction_decision;Upset Over Decision;;;;Enfurecido por la decision;;;;;;;;;x
#
# FACTION DECISIONS
#
ask_claimant_support;Ask to Support Pretender;;;;Pedir Apoyo para el Pretendiente;;;;;;;;;x
ask_claimant_support_desc;Meet with §Y[This.GetTitledFirstName]§W and attempt to gain their support for §Y[From.SupportedClaimant.GetTitledName]§W, you supported claimant for the [From.SupportedClaimantTitle.GetFullName].;;;;Reunirse con §Y[This.GetTitledFirstName]§W e intentar ganarse su apoyo para §Y[From.SupportedClaimant.GetTitledName]§W, has apoyado el pretendiente al [From.SupportedClaimantTitle.GetFullName].;;;;;;;;;x
court_faction_member;Court Faction Member;;;;Miembro de la Faccion de la Corte;;;;;;;;;x
court_faction_member_desc;Meet with §Y[This.GetTitledFirstName]§W and attempt to improve [This.GetHerHis] disposition towards you. Note that this could very well have no effect or even worsen [This.GetHerHis] opinion, depending on your skill at diplomacy and your compatibility with each other.;;;;Reunirse con §Y[This.GetTitledFirstName]§W y tratar de mejorar su disposicion hacia ti. Ten en cuenta que esto podria no tener efecto o incluso empeorar su opinion, dependiendo de tu habilidad diplomatica y vuestra compatibilidad.;;;;;;;;;x
faction_begin_civil_war;Declare Civil War;;;;Declarar Guerra Civil;;;;;;;;;x
faction_begin_civil_war_desc;Send the word out to your faction supporters: the time to overthrow §Y[Root.Liege.GetBestName]§! has come, and the [Root.Liege.PrimaryTitle.GetAdjective] civil war must now begin.;;;;Convoca a tus partidarios de Faccion: la hora de derrocar a §Y[Root.Liege.GetBestName]§! ha llegado, y la guerra civil [Root.Liege.PrimaryTitle.GetAdjective] va a comenzar.;;;;;;;;;x
faction_send_ultimatum;Make Ultimatum to Liege;;;;Darle un Ultimatum al Señor;;;;;;;;;x
faction_send_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!: either [Root.Liege.GetSheHe] give into your faction's demands or your faction and its supporters will rise in revolt and overthrow [Root.Liege.GetHerHim].;;;;Enviarle un Ultimatum a §Y[Root.Liege.GetBestName]§!: o bien acepta las demandas de tu faccion o sus partidarios se rebelarán y lo derrocarán.;;;;;;;;;x
faction_succ_feudal_elective_prepare;Call To Arms;;;;Llamada a las Armas;;;;;;;;;x
faction_succ_feudal_elective_prepare_desc;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to change the succession law to Feudal Elective. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstName]'s vassals, to prepare for the possibility of civil war.;;;;Tu faccion está lista para levantarse en armas contra §Y[Root.Liege.GetBestName]§!, si rechase el ultimatum para cambiar la ley de sucesion a Feudal Electiva. Es hora de avisar a todos tus partidarios, y a todos los vasallos de [Root.Liege.GetTitledFirstName], para prepararse de la posibilidad de una guerra civil.;;;;;;;;;x
faction_succ_gavelkind_prepare;Call To Arms;;;;Llamada a las Armas;;;;;;;;;x
faction_succ_gavelkind_prepare_desc;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to change the succession law to Gavelkind. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstName]'s vassals, to prepare for the possibility of civil war.;;;;Tu faccion está lista para levantarse en armas contra §Y[Root.Liege.GetBestName]§!, si rechase el ultimatum para cambiar la ley de sucesion a Partes Iguales. Es hora de avisar a todos tus partidarios, y a todos los vasallos de [Root.Liege.GetTitledFirstName], para prepararse de la posibilidad de una guerra civil.;;;;;;;;;x
faction_succ_primogeniture_prepare;Call To Arms;;;;Llamada a las Armas;;;;;;;;;x
faction_succ_primogeniture_prepare_desc;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to change the succession law to Primogeniture. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstName]'s vassals, to prepare for the possibility of civil war.;;;;Tu faccion está lista para levantarse en armas contra §Y[Root.Liege.GetBestName]§!, si rechase el ultimatum para cambiar la ley de sucesion a Primogenitura. Es hora de avisar a todos tus partidarios, y a todos los vasallos de [Root.Liege.GetTitledFirstName], para prepararse de la posibilidad de una guerra civil.;;;;;;;;;x
faction_succ_seniority_prepare;Call To Arms;;;;Llamada a las Armas;;;;;;;;;x
faction_succ_seniority_prepare_desc;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to change the succession law to Seniority. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstName]'s vassals, to prepare for the possibility of civil war.;;;;Tu faccion está lista para levantarse en armas contra §Y[Root.Liege.GetBestName]§!, si rechase el ultimatum para cambiar la ley de sucesion a Antiguedad. Es hora de avisar a todos tus partidarios, y a todos los vasallos de [Root.Liege.GetTitledFirstName], para prepararse de la posibilidad de una guerra civil.;;;;;;;;;x
hold_court_faction_meeting;Hold Court Faction Meeting;;;;Celebrar una Reunion de la Faccion de la Corte;;;;;;;;;x
hold_court_faction_meeting_desc;The time has come to call for a meeting of your faction, to determine future policy.;;;;Ha llegado la hora de convocar una reunion de tu faccion, para determinar la agenda.;;;;;;;;;x
hold_glory_faction_meeting;Hold Glory Faction Meeting;;;;Celebrar una Reunion de la Faccion de la Gloria;;;;;;;;;x
hold_glory_faction_meeting_desc;The time has come to call for a meeting of your faction, to determine future policy.;;;;Ha llegado la hora de convocar una reunion de tu faccion, para determinar la agenda.;;;;;;;;;x
hold_tradition_faction_meeting;Hold Tradition Faction Meeting;;;;Celebrar una Reunion de la Faccion de la Tradicion;;;;;;;;;x
hold_tradition_faction_meeting_desc;The time has come to call for a meeting of your faction, to determine future policy.;;;;Ha llegado la hora de convocar una reunion de tu faccion, para determinar la agenda.;;;;;;;;;x
hold_prosperity_faction_meeting;Hold Prosperity Faction Meeting;;;;Celebrar una Reunion de la Faccion de la Prosperidad;;;;;;;;;x
hold_prosperity_faction_meeting_desc;The time has come to call for a meeting of your faction, to determine future policy.;;;;Ha llegado la hora de convocar una reunion de tu faccion, para determinar la agenda.;;;;;;;;;x
invite_claimant_to_court;Invite Claimant;;;;Invitar un Pretendiente;;;;;;;;;x
invite_claimant_to_court_desc;Invite Claimant;;;;Invitar un Pretendiente;;;;;;;;;x
recruit_faction_member;Recruit Into Faction;;;;Reclutar a la Faccion;;;;;;;;;x
recruit_faction_member_desc;Attempt to recruit §Y[This.GetTitledFirstName]§W into your faction. Note that this could result in worsening relations as well, and if [This.GetSheHe] is part of a faction, [This.GetSheHe] might decide to inform the faction leader of your attempted poaching.;;;;Trata de reclutar a §Y[This.GetTitledFirstName]§W a tu Faccion. Ten en cuenta que esto podria resultar en un empeoramiento de las relaciones, y si [This.GetElElla] forma parte de una faccion, [This.GetElElla] puede decidir informar a su lider de faccion de tu intento de reclutamiento.;;;;;;;;;x
#
# FACTION TOOLTIPS
#
ATTEMPT_COURT_FACTION;Begin to court [Root.GetTitledName]'s good opinion\n;;;;Comenzar a influenciar la opinion de [Root.GetTitledName]\n;;;;;;;;;x
ATTEMPT_RECRUIT_FACTION;Approach [Root.GetTitledName] in an attempt to recruit [Root.GetHerHim] into your faction\n;;;;Aproximarse a [Root.GetTitledName] tratando de reclutarl[Root.GetOA] a tu faccion\n;;;;;;;;;x
CA_LOWERED_NO_NAME;§YCrown Authority§! will be §RREDUCED§!\n;;;;La §YAutoridad de la Corona§! será §RREDUCIDA§!\n;;;;;;;;;x
CAN_HOLD_FACTION_MEETING;The faction is ready to have another meeting\n;;;;La Faccion está lista para otra reunion\n;;;;;;;;;x
