#Missing strings from vanilla
String_July;July;juillet;Juli;;Julio;;;;;;;;;x
TT_EVTOPTDHF24138;Improve the §YOpinion§! that any vassal of §Y[Root.Liege.PrimaryTitle.GetName]§! has of you.;Améliorez l'§Yopinion§! qu'a de vous n'importe quel est un vassal de §Y[Root.Liege.PrimaryTitle.GetName]§!.;Verbessert die §YMeinung§! aller Herrscher über Euch, die Vassallen von §Y[Root.Liege.PrimaryTitle.GetName]§! sind.;;Mejora la §Yopinión§! que tienen de ti todos los vasallos del §Y[Root.Liege.PrimaryTitle.GetName]§!.;;;;;;;;x
EVTDESCCHF24139;[From.GetTitledFirstName] has dedicated a lot of [From.GetHerHis] time in the past weeks trying to make sure that all [From.GetHerHis] fellow vassals under [From.Liege.PrimaryTitle.GetName] understand the girth of [From.GetHerHis] prestige and generosity, holding several feasts and attempting to know each of us better. [From.GetSheHeCap] has undoubtedly proven to be an enthralling [From.GetManWoman]...;[From.Get_Le_TitledFirstName] a consacré beaucoup de son temps au cours des dernières semaines à faire en sorte que tous ses dirigeants voisins comprennent l'envergure de son prestige et de sa générosité en organisant plusieurs fêtes. [From.GetIlElleCap] a sans aucun doute prouvé être un[From.Get_E] [From.GetManWoman] passionnant[From.Get_E]...;[From.GetTitledFirstName] hat in den letzten Woche eine Menge [From.GetHerHis]er Zeit dafür aufgewandt, [From.GetHerHis]en Nachbarn die Bedeutung [From.GetHerHis]er Prestige und Großzügigkeit zu zeigen. Dafür hielt [From.GetSheHe] mehrere Feste und lernt jeden von uns besser kennen. [From.GetSheHeCap] hat sich zweifelsohne als bezaubernde[From.GetrMale] [From.GetManWoman] erwiesen...;;[From.GetTitledFirstName] dedicó gran parte de las semanas pasadas intentando que todos los vecinos de [From.PrimaryTitle.GetName] entiendan las dimensiones de su prestigio y generosidad, celebrando muchos banquetes e intentando que todos nos conozcamos mejor. Desde luego, ha demostrado ser fascinante…;;;;;;;;x
EVTDESCHFA20243;With the unexpected death of [From.GetTitledFirstName], [From.GetHerHis] Coronation ceremony has been cancelled.;Avec la mort inattendue de [From.GetTitledFirstName], sa cérémonie de couronnement a été annulée.;Mit dem unerwarteten Tod von [From.GetTitledFirstName] wurde [From.GetHerHis]e Krönungszeremonie abgesagt.;;Con la muerte inesperada de [From.GetTitledFirstName], su ceremonia de coronación ha sido cancelada.;;;;;;;;x
EVTOPTAHF20243;What a shame.;C'est dommage.;Schade.;;Qué lástima.;;;;;;;;x
ANIMISTIC_RELIGION;Animistic Doctrine;Doctrine animiste;Animistische Lehre;;Doctrina animista;;;;;;;;;x
RELENTLESS_ANIMISTIC_RELIGION;Unrelenting, Animistic Doctrine;Doctrine implacable animiste;Unnachgiebige Animistische Lehre;;Doctrina implacable animista;;;;;;;;x
TENGRI_RELENTLESS_ANIMISTIC_RELIGION;Animistic, Eternal Riders;Chevaucheurs éternels animistes;Ewige Animistische Reiter;;Jinetes eternos animistos;;;;;;;;x
AZTEC_RELENTLESS_ANIMISTIC_RELIGION;Animistic Invaders;Envahisseurs animistes;Animistische Eindringlinge;;Invasores animistos;;;;;;;;x
DEF_ANIMISTIC_RELIGION;Defensive, Animistic Religion;Religion défensive animiste;Defensive Animistische Religion;;Religión Defensiva Animista;;;;;;;;;x
WEST_AFRICAN_ANIMISTIC_RELIGION;Totem-Guardians;Gardiens-Totem;Totemwächter;;Guardianes de tótems;;;;;;;;;x
WEST_AFRICAN_RELENTLESS_ANIMISTIC_RELIGION;Unrelenting Totem-Guardians;Gardiens-Totem implacables;Unnachgiebige Totemwächter;;Guardianes de tótems implacables;;;;;;;;;x
WEST_AFRICAN_DEF_ANIMISTIC_RELIGION;Defensive Totem-Guardians;Gardiens-Totem défensives;Defensive Totemwächter;;Guardianes de tótems defensivas;;;;;;;;;x
FINNISH_ANIMISTIC_RELIGION;Survivors of Ukko;Survivants d'Ukko;Überlebende von Ukko;;Supervivientes de Ukko;;;;;;;;;x
FINNISH_RELENTLESS_ANIMISTIC_RELIGION;Unrelenting Survivors of Ukko;Survivants d'Ukko Implacables;Unnachgiebige Überlebende von Ukko;;Supervivientes de Ukko Implacables;;;;;;;;;x
FINNISH_DEF_ANIMISTIC_RELIGION;Defensive Survivors of Ukko;Survivants d'Ukko Défensives;Defensive Überlebende von Ukko;;Supervivientes de Ukko Defensivos;;;;;;;;;x
BALTIC_ANIMISTIC_RELIGION;Defenders of Dievas;Défenseurs de Dievas;Beschützer von Dieva;;Defensores de Dievas;;;;;;;;;x
BALTIC_RELENTLESS_ANIMISTIC_RELIGION;Unrelenting Defenders of Dievas;Défenseurs de Dievas Implacables;Unnachgiebige Beschützer von Dieva;;Defensores de Dievas Implacables;;;;;;;;;x
BALTIC_DEF_ANIMISTIC_RELIGION;Unyielding Defenders of Dievas;Défenseurs de Dievas Fortes;Unnachgiebige Beschützer von Dieva;;Defensores de Dievas Inflexibles;;;;;;;;;x
religion_feature_norse_feature;Rulers follow the Norse principles of commerce and seafaring;Les seigneurs suivent les principes nordiques de le commerce et de la navigation;Herrscher folgen den nordischen Prinzipien von Handel und Seefahrt;;Los gobernantes siguen los principios nórdicos de comercio y navegación;;;;;;;;;x
tooltip_religion_feature_patriarchal;§GOnly Agnatic and Agnatic-Cognatic succession is allowed§!;§GSeules les successions Agnatique et Agnatique-Cognatique sont autorisées§!;§GNur agnatische und agnatisch-kognatische Nachfolgen sind erlaubt§!;;§GSolo se permite la sucesión Agnatica y Agnatica-Cognática§!;;;;;;;;;x
tooltip_religion_feature_matriarchal;§GOnly Enatic and Enatic-Cognatic succession is allowed§!\n§GFemale rulers are NOT penalized§!;§GSeules les successions Utérine et Utérine-Cognatique sont autorisées§!\n§GLes femmes au pouvoir ne sont pas pénalisées§!;§GNur enatische und enatisch-kognatische Nachfolgen sind erlaubt§!\n§GWeibliche Herrscher erhalten KEINE Strafen§!;;§GSolo se permite la sucesión Enática y Enática-Cognática§!\n§GNO se penaliza a las gobernantes§!;;;;;;;;;x
tooltip_HF23014_A;§YEnatic/Enatic-Cognatic Law§! and §YFull Status of Women§! are enforced throughout the realm.;Les lois '§YUtérine/Utérine-Cognatique§!' et '§YStatut complet des femmes§!' sont mises en application dans le pays.;§YEnatische/Enatisch-kognatische Erbfolge§! und §YVollständige Anerkennung der Frau§! werden im Reich durchgesetzt.;;Se aplica en todo el reino la §Yley Enática/Enática-Cognática§! y el §Yestatus total de la mujer§!;;;;;;;;;x
tooltip_HF23015_A;§YAgnatic/Agnatic-Cognatic Law§! and §YTraditional Status of Women§! are enforced throughout the realm.;Les lois '§YAgnatique/Agnatique-Cognatique§!' et '§YStatut traditionnel des femmes§!' sont mises en application dans le pays.;§YAgnatische/Agnatisch-kognatische Erbfolge§! und §YTraditioneller Status der Frau§! werden im Reich durchgesetzt.;;Se aplica en todo el reino la §Yley Agnatica/Agnatica-Cognática§! y el §Yestatus tradicional de la mujer§!;;;;;;;;;x
has_liege_vassal_or_neighbor_of_tengri_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[tengri_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[tengri_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[tengri_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[tengri_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_baltic_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[baltic_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[baltic_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[baltic_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[baltic_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_finnish_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[finnish_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[finnish_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[finnish_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[finnish_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_slavic_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[slavic_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[slavic_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[slavic_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[slavic_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_west_african_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[west_african_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[west_african_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[west_african_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[west_african_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_zun_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[zun_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[zun_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[zun_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[zun_pagan.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_bon_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[bon.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[bon.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[bon.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[bon.GetName]§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_hellenic_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §Y[hellenic_pagan.GetName]§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Y[hellenic_pagan.GetName]§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §Y[hellenic_pagan.GetName]en§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Y[hellenic_pagan.GetName]§!\n;;;;;;;;;x
