#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
battlefield_fight;Challenged to a battlefield duel;Challenged to a battlefield duel;;;Desafiado a un duelo en el campo de batalla;;;;;;;;;x
EVTDESCDUEL106;[From.GetBestName] overwhelms your defense and, with a mighty blow, sends you sprawling to the ground. You look up at [From.GetHerHim] towering above you, ready to deliver the finishing blow…;[From.GetBestName] déborde votre défense et, d'un coup puissant, vous projette à terre. Vous levez les yeux vers lui. Sa silhouette imposante se dresse au dessus de vous, prête à vous donner le coup de grâce…;;;[From.GetBestName] arrolla tu defensa y, con un poderoso golpe, te envía despatarrado al suelo. Ves cómo se alza imponente sobre ti, listo para asestar el golpe final...;;;;;;;;;x
EVTDESCDUEL107;[From.GetBestName] drops [From.GetHerHis] weapon and throws up [From.GetHerHis] hands. "Yield! I yield!";[From.GetBestName] lâche son arme et lève ses mains. "Je me rends! Je me rends!";;;[From.GetBestName] arroja su arma y levanta sus brazos. “¡Me rindo! ¡Me rindo!”;;;;;;;;;x
EVTDESCDUEL108;[From.GetFirstName] lowers the point of [From.GetHerHis] weapon and extends a hand. "I accept," [From.GetSheHe] says, "back on your feet.";[From.GetFirstName] abaisse son arme et tend sa main. "J'accepte", dit-[From.GetSheHe], "Relève toi". ;;;[From.GetFirstName] baja el arma y te ofrece la mano. “Acepto -dice.- Póngase en pie”.;;;;;;;;;x
EVTDESCDUEL109;[From.GetFirstName] looks down at you without a hint of emotion on [From.GetHerHis] face.\n"No."\nAll goes dark.;[From.GetFirstName] vous regarde de haut sans la moindre émotion sur son visage.\n"La mort pour seule récompense !"\nTout devient noir.;;;[From.GetFirstName] te mira sin emoción en su cara.\n“No.” \nDe repente, todo se vuelve oscuro.;;;;;;;;;x
EVTDESCDUEL10;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;;;[FromFrom.GetBestName] y tú os recuperáis del furioso combate, listos para el siguiente asalto. Le miras tratando de descubrir si se está cansando ya.;;;;;;;;;x
EVTDESCDUEL110;[FromFrom.GetBestName] strikes, but you roll to dodge just in time, taking no more than a flesh wound. You force yourself back to your feet and hold your weapon ready.;[FromFrom.GetBestName] frappe, mais vous roulez juste à temps pour esquiver le coup et ne recevez qu'une très légère blessure. Vous vous relevez et empoignez votre arme avec force.;;;[FromFrom.GetBestName] golpea, pero ruedas por el suelo justo a tiempo, esquivando el golpe salvo por un arañazo. Te obligas a ponerte en pie con el arma lista.;;;;;;;;;x
EVTDESCDUEL111;You strike, but [FromFrom.GetBestName] rolls to the side, wounded but still very much alive. [FromFrom.GetSheHeCap] rises to [FromFrom.GetHerHis] feet and readies [FromFrom.GetHerHis] weapon once again.;Vous frappez, mais [FromFrom.GetBestName] roule sur le côté, blessé mais toujours bien vivant.  [FromFrom.GetSheHeCap] se remet sur ses jambes et empoigne à nouveau son arme.;;;Golpeas, pero [FromFrom.GetBestName] rueda por el suelo evitando parte del golpe. Se pone en pie con el arma lista de nuevo.;;;;;;;;;x
EVTDESCDUEL112;[From.GetBestName] is beaten to the ground, unable to withstand your attack. You have wounded [From.GetHerHim], but [From.GetBestName] stands back up, determined to fight on.;[From.GetBestName] est au sol, incapable de résister à votre attaque. Vous l'avez blessé, mais [From.GetBestName] se relève, déterminé à combattre.;;;[From.GetBestName] es derribado al suelo, incapaz de hacer frente a tu ataque. Le has herido, pero se vuelve a levantar, dispuesto a continuar.;;;;;;;;;x
EVTDESCDUEL11;You and [FromFrom.GetBestName] are getting ready to cross arms yet another time. Surely [FromFrom.GetSheHe] must be nearly beaten now?;You and [FromFrom.GetBestName] are getting ready to cross arms yet another time. Surely [FromFrom.GetSheHe] must be nearly beaten now?;;;[FromFrom.GetBestName] y tú os preparáis para cruzar las armas de nuevo. Está casi vencido, ¿verdad?;;;;;;;;;x
EVTDESCDUEL12;You and [From.GetBestName] recover from the furious fight, and are ready for another round. You scan [From.GetHerHim] to see if [From.GetSheHe] is getting tired yet.;You and [From.GetBestName] recover from the furious fight, and are ready for another round. You scan [From.GetHerHim] to see if [From.GetSheHe] is getting tired yet.;;;[From.GetBestName] y tú os recuperáis del furioso combate, listos para el siguiente asalto. Le miras tratando de descubrir si se está cansando ya.;;;;;;;;;x
EVTDESCDUEL13;You and [From.GetBestName] are getting ready to cross arms yet another time. Surely [From.GetSheHe] must be nearly beaten now?;You and [From.GetBestName] are getting ready to cross arms yet another time. Surely [From.GetSheHe] must be nearly beaten now?;;;[From.GetBestName] y tú os preparáis para cruzar las armas de nuevo. Está casi vencido ¿verdad?;;;;;;;;;x
EVTDESCDUEL201;[FromFrom.GetBestName] tries to fight back, but you force your way through, easily overpowering [FromFrom.GetHerHis] pathetic defense. You strike for [FromFrom.GetHerHis] heart with all your might!;[FromFrom.GetBestName] tente de résister, mais vous imposez votre rythme, passant facilement à travers sa pathétique défense. De toute votre force, vous frappez droit vers son coeur !;;;[FromFrom.GetBestName] intenta contraatacar, pero encuentras un hueco, y fácilmente sobrepasas su patética defensa. ¡Golpeas al corazón con toda tu fuerza!;;;;;;;;;x
EVTDESCDUEL202;You try to hold [From.GetBestName] back, but [From.GetHerHis] onslaught is unstoppable! You only slip once, but once is all [From.GetSheHe] needs…;Vous essayez de repousser [From.GetBestName], mais son attaque est imparable ! Vous êtes déstabilisé pendant une seconde, et une seconde c'est tout ce dont [From.GetSheHe] a besoin…;;;¡Intentas mantener a [From.GetBestName] a raya, pero su hostigamiento es imparable! Sólo te descuidas una vez, pero un fallo es todo lo que necesita...;;;;;;;;;x
EVTDESCDUEL203;[From.GetBestName] crumples to the ground, lifeless. You wipe [From.GetHerHis] blood from your weapon. The deed is done. [From.GetSheHeCap] is dead.;[From.GetBestName] gît à terre, du sang s'écoulant de la blessure fatale que vous lui avez infligé. Vous essuyez votre arme avec de la terre. C'est fait. [From.GetSheHeCap] est mort.;;;[From.GetBestName] se derrumba, inerte. Limpias su sangre de tu arma. Asunto concluido. [From.GetSheHeCap] muere.;;;;;;;;;x
EVTDESCDUEL2;You and [FromFrom.GetBestName] slowly circle each other, tense and focused. You scan [FromFrom.GetHerHim] for any sign of weakness, any opening in [FromFrom.GetHerHis] defense that you could possibly exploit.;Avec [FromFrom.GetBestName], vous vous tournez lentement autour, raidis et concentrés. Vous tentez de percevoir le moindre signe de faiblesse chez lui, la moindre ouverture dans sa défense, que vous pourriez peut-être exploiter.;;;[FromFrom.GetBestName] y tú tanteáis lentamente al adversario, tensos y concentrados. Buscas cualquier signo de debilidad en [FromFrom.GetSheHe], cualquier apertura en su defensa que puedas aprovechar.;;;;;;;;;x
EVTDESCDUEL301;You and [FromFrom.GetBestName] sit atop your horses at opposite ends of the lists. Banners flap in the wind and the crowd looks on in rapt expectation. You brace yourself and ready your lance.;Vous vous trouvez à l'extrémité de la lice, face à [FromFrom.GetBestName]. Vos chevaux s'ébrouent, les bannières claquent au vent et la foule silencieuse attend fébrilement. Vous abaissez votre bassinet et préparez votre lance. ;;;[FromFrom.GetBestName] y tú aguardáis montados a caballo en cada extremo de la justa. Las banderas ondean al viento y la multitud bulle de expectación. Bajas la visera del yelmo y preparas la lanza.;;;;;;;;;x
EVTDESCDUEL302;You and [From.GetBestName] sit atop your horses at opposite ends of the lists. Banners flap in the wind and the crowd looks on in rapt expectation. You brace yourself and ready your lance.;Vous vous trouvez à l'extrémité de la lice, face à [FromFrom.GetBestName]. Vos chevaux s'ébrouent, les bannières claquent au vent et la foule silencieuse attend fébrilement. Vous abaissez votre bassinet et préparez votre lance. ;;;[From.GetBestName] y tú aguardáis montados a caballo en cada extremo de la justa. Las banderas ondean al viento y la multitud bulle de expectación. Bajas la visera del yelmo y preparas la lanza.;;;;;;;;;x
EVTDESCDUEL303;The crowd roars and hooves beat against the dirt. You lean into your charge, lance extended forward, sweat dripping from your brow. For a moment, the tension grips you completely. And then you feel the shock run down your arm, as your lance crashes into your opponent!;La foule rugit tandis que les sabots martèlent la lice. Vous vous penchez sur votre monture, la lance en avant, une goutte de sueur perle le long de votre cou. Un moment la tension s'empare de vous, puis vous sentez le choc à travers votre bras alors que votre lance frappe votre adversaire.;;;Oyes el rugido de la multitud y el golpeteo de los cascos en la tierra mientras cargas lanza en brazo, el sudor goteando por tus cejas. Durante un momento te inmoviliza la tensión. Luego sientes el choque en tu brazo cuando tu lanza se estampa contra tu oponente.;;;;;;;;;x
EVTDESCDUEL304;The crowd roars and hooves beat against the dirt. You lean into your charge, lance extended forward, sweat dripping from your brow. For a moment, the tension grips you completely. And then you feel the shock as your opponent's lance crashes into you!;La foule rugit tandis que les sabots martèlent la lice. Vous vous penchez sur votre monture, la lance en avant, une goutte de sueur perle le long de votre cou. Un moment la tension s'empare de vous, puis vous sentez le choc alors que la lance de votre adversaire vous frappe !;;;Oyes el rugido de la multitud y el golpeteo de los cascos en la tierra mientras cargas lanza en brazo, el sudor goteando por tus cejas. Durante un momento te inmoviliza la tensión. Luego sientes el choque cuando la lanza de tu oponente se estrella contra ti.;;;;;;;;;x
EVTDESCDUEL305;The crowd roars and hooves beat against the dirt. You lean into your charge, lance extended forward, sweat dripping from your brow. For a moment, the tension grips you completely. And then you feel the slam of your opponent's lance into your shield, shattering it and wounding you!;La foule rugit tandis que les sabots martèlent la lice. Vous vous penchez sur votre monture, la lance en avant, une goutte de sueur perle le long de votre cou. Un moment la tension s'empare de vous, puis vous sentez le choc alors que la lance de votre adversaire traverse votre bouclier et rentre dans votre chair !;;;Oyes el rugido de la multitud y el golpeteo de los cascos en la tierra mientras cargas lanza en brazo, el sudor goteando por tus cejas. Durante un momento te inmoviliza la tensión. Luego sientes el empujón cuando la lanza se estrella contra tu escudo, destrozándolo e hiriéndote.;;;;;;;;;x
EVTDESCDUEL306;The crowd roars and hooves beat against the dirt. You lean into your charge, lance extended forward, sweat dripping from your brow. For a moment, the tension grips you completely. And then you feel the shock run down your arm, as your lances shatters your opponent's shield and wounds him!;La foule rugit tandis que les sabots martèlent la lice. Vous vous penchez sur votre monture, la lance en avant, une goutte de sueur perle le long de votre cou. Un moment la tension s'empare de vous, puis vous sentez le choc alors que votre lance traverse le bouclier de votre adversaire et rentre dans sa chair !;;;Oyes el rugido de la multitud y el golpeteo de los cascos en la tierra mientras cargas lanza en brazo, el sudor goteando por tus cejas. Durante un momento te inmoviliza la tensión. Luego sientes el golpe en tu brazo cuando tu lanza destroza el escudo de tu oponente y le hiere.;;;;;;;;;x
EVTDESCDUEL309;Your lance smashes into [FromFrom.GetBestName]'s shield, and [FromFrom.GetSheHe] topples from [FromFrom.GetHerHis] horse. You slow your horse to a trot and turn, raising your lance into the sky while the crowd cheers your victory.;Votre lance se brise sur le bouclier de [FromFrom.GetBestName] qui est jeté à bas de son cheval. Vous mettez votre cheval au trot puis faîtes demi-tour au bout de la lice, levant votre lance au ciel tandis que la foule acclame votre victoire.;;;Tu lanza impacta contra el escudo de [FromFrom.GetBestName] haciéndole caer del caballo. Reduces el paso a un trote, te vuelves y alzas tu lanza en señal de victoria mientras la multitud te vitorea.;;;;;;;;;x
EVTDESCDUEL310;[From.GetBestName]'s lance smashes into your shield, and you try to cling to your horse, but the force is too much. You are thrown from the saddle, and are left in the dirt as the crowd cheers for [From.GetTitledFirstName]'s victory.;La lance de [From.GetBestName] se brise sur votre bouclier, vous tentez désespéremment de rester en selle mais le choc est trop fort. Vous êtes désarçonné et vous écrasez au sol tandis que la foule acclame la victoire de [From.GetTitledFirstName].;;;La lanza impacta contra tu escudo e intentas agarrarte a las riendas, pero el golpe es demasiado fuerte. Caes de la silla y desde el suelo oyes cómo la multitud celebra la victoria de [From.GetTitledFirstName].;;;;;;;;;x
EVTDESCDUEL311;[FromFrom.GetBestName] tries to take the blow on [FromFrom.GetHerHis] shield, but your lance slips past, driving hard into [FromFrom.GetHerHis] neck. The wood cracks and your opponent slips from [FromFrom.GetHerHis] horse and lies in the dirt, slowly dying in a pool of [FromFrom.GetHerHis] own blood. You have won, but at what cost?;[FromFrom.GetBestName] tente de prendre le coup sur son bouclier, mais votre lance dévie et le frappe violemment au cou. Le bois craque et votre adversaire chute de son cheval. A terre, il agonise, s'etouffant dans son propre sang. Vous avez gagné, mais à quel prix ?;;;[FromFrom.GetBestName] intenta parar tu golpe con su escudo, pero la lanza resbala y se hunde profundamente en su cuello. La madera se parte y tu oponente cae al suelo, muriendo lentamente en un gran charco de sangre. Has ganado, pero ¿a qué precio?;;;;;;;;;x
EVTDESCDUEL312;You try to take the blow on your shield, but it slips past. You have just time enough time to fill with horror before the great wooden spear drives itself into your throat, and everything goes dark.;Vous essayez de prendre le coup sur votre bouclier mais elle dévie. Vous avez juste le temps de lâcher un cri avant que la grande lance de bois ne frappe votre gorge, et tout devient noir.;;;Intentas detener el golpe con tu escudo, pero la lanza se desliza hacia arriba. No tienes tiempo de horrorizarte cuando la madera se te clava en la garganta. En el suelo no consigues respirar, luego todo se vuelve oscuro.;;;;;;;;;x
EVTDESCDUEL313;[From.GetBestName]'s lance has wounded you, and you try to cling to your horse, but you can't hold on. You fall down into the dirt as the crowd cheers for [From.GetTitledFirstName]'s victory.;La lance de [From.GetBestName] se brise sur votre bouclier, vous tentez désespéremment de rester en selle mais le choc est trop fort. Vous êtes désarçonné et vous écrasez au sol tandis que la foule acclame la victoire de [From.GetTitledFirstName].;;;La lanza de [From.GetBestName] te ha herido e intentas mantenerte en el caballo, pero no lo consigues. Caes al suelo mientras la multitud vitorea la victoria de [From.GetTitledFirstName].;;;;;;;;;x
EVTDESCDUEL3;You and [From.GetBestName] slowly circle each other, tense and focused. You scan [From.GetHerHim] for any sign of weakness, any opening in [From.GetHerHis] defense that you could possibly exploit.;Avec [FromFrom.GetBestName] vous vous tournez lentement autour, raidis et concentrés. Vous tentez de percevoir le moindre signe de faiblesse chez lui, la moindre ouverture dans sa défense que vous pourriez peut-être exploiter.;;;[From.GetBestName] y tú tanteáis lentamente al adversario, tensos y concentrados. Buscas cualquier signo de debilidad en [From.GetSheHe], cualquier apertura en su defensa que puedas aprovechar.;;;;;;;;;x
EVTDESCDUEL5;You see a weak spot, a vulnerability. It's not much, but it's all you need.;Vous apercevez une minuscule faille. Ce n'est pas grand-chose, mais c'est une erreur que [FromFrom.GetBestName] va payer cher…;;;Ves un punto débil. No es mucho, pero es todo lo que necesitas.;;;;;;;;;x
EVTDESCDUEL6;Before you have a chance to spot an opening, [From.GetBestName] launches a furious, frenzied attack!;Avant d'avoir eu la chance de trouver une ouverture, [From.GetBestName] se rue sur vous !;;;Antes de que puedas detectar una oportunidad, [From.GetBestName] lanza un furioso y frenético ataque.;;;;;;;;;x
EVTDESCDUELOUTPUT1;The fight is over. [From.GetBestName] lies defeated. You have won!;Le combat est terminé. [From.GetBestName] est vaincu. Vous avez gagné !;;;La lucha ha terminado. [From.GetBestName] yace vencido(a). ¡Has ganado!;;;;;;;;;x
EVTDESCDUELOUTPUT2;The joust is over. [From.GetBestName] is defeated. You have won!;Le joust est terminé. [From.GetBestName] est vaincu. Vous avez gagné !;;;La justa ha terminado. [From.GetBestName] es derrotado(a). ¡Has ganado!;;;;;;;;;x
EVTDESCDUELOUTPUT3;Your duel has ended before it even could begin.;Your duel has ended before it even could begin.;;;Tu duelo ha terminado antes de que pudiera empezar.;;;;;;;;;x
EVTOPTA5556000;Charge!;A l'assaut !;;;¡A la carga!;;;;;;;;;x
EVTOPTA5556001;Prepare to die, [From.GetOnlyDynastyName] scum!;Prépare toi à mourir, pourriture de [From.GetOnlyDynastyName]!;;;¡Prepárate a morir, escoria [From.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTA5556002;Prepare to die, [From.GetOnlyDynastyName] scum!;Prépare toi à mourir, pourriture de [From.GetOnlyDynastyName]!;;;¡Prepárate a morir, escoria [From.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTA5556003;That's right, coward, run back to [From.Capital.GetName]!;C'est ça, couard ! Retourne à [From.Capital.GetName] !;;;¡Está bien, cobarde! ¡Corre hasta [From.Capital.GetName]!;;;;;;;;;x
EVTOPTA5556004;That's right, coward, run back to [From.Capital.GetName]!;C'est ça, couard ! Retourne à [From.Capital.GetName] !;;;¡Está bien, cobarde! ¡Corre hasta [From.Capital.GetName]!;;;;;;;;;x
EVTOPTA5556100;Now's our chance!;C'est notre chance!;;;¡Ahora es nuestra oportunidad!;;;;;;;;;x
EVTOPTA5556101;Come with me, and walk fast. It's a long way to [Root.Capital.GetName].;Venez avec moi, et marchez rapidement. Le chemin est long jusqu'à [Root.Capital.GetName].;;;Ven conmigo y camina raudo. Hay un largo camino hasta [Root.Capital.GetName].;;;;;;;;;x
EVTOPTA5556102;I'll remember this, [From.GetOnlyDynastyName].;Je m'en souviendrai, [From.GetOnlyDynastyName].;;;Recordaré esto, [From.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTADUEL105;It's all over now!;Tout est fini maintenant !;;;¡Todo ha terminado!;;;;;;;;;x
EVTOPTADUEL106;Yield! Yield!;Je me rends! Je me rends!;;;¡Me rindo! ¡Me rindo!;;;;;;;;;x
EVTOPTADUEL107;I accept. Back on your feet..;J'accepte. Relève toi…;;;De acuerdo. Puedes levantarte.;;;;;;;;;x
EVTOPTADUEL108;Your battle, fairly won.;Votre bataille, remportée honorablement.;;;Has vencido justamente.;;;;;;;;;x
EVTOPTADUEL109;Aaargh!;Aaargh!;;;¡Aaargh!;;;;;;;;;x
EVTOPTADUEL10;If [FromFrom.GetSheHe] stumbles just once, this is over…;If [FromFrom.GetSheHe] stumbles just once, this is over…;;;Conque [FromFrom.GetSheHe] tropiece una vez, esto acaba...;;;;;;;;;x
EVTOPTADUEL110;You won't get another chance!;Tu n'auras pas de deuxième chance!;;;¡No habrá otra oportunidad!;;;;;;;;;x
EVTOPTADUEL111;Why won't you just DIE?!;Mais vas-tu CREVER ?!;;;¿Por qué no te mueres de una vez?;;;;;;;;;x
EVTOPTADUEL112;You should have yielded when you had the chance…;Vous auriez du vous rendre quand vous en aviez la possibilité…;;;Rendirse no fue una buena idea...;;;;;;;;;x
EVTOPTADUEL11;I will defeat [FromFrom.GetHerHim] soon…;I will defeat [FromFrom.GetHerHim] soon…;;;Pronto venceré a [FromFrom.GetBestName]...;;;;;;;;;x
EVTOPTADUEL12;If [From.GetSheHe] stumbles just once, this is over…;If [From.GetSheHe] stumbles just once, this is over…;;;Conque [From.GetSheHe] tropiece una vez, esto acaba...;;;;;;;;;x
EVTOPTADUEL13;I will defeat [From.GetHerHim] soon…;I will defeat [From.GetHerHim] soon…;;;Pronto venceré a [From.GetBestName]...;;;;;;;;;x
EVTOPTADUEL201;DIE!;MEURS !;;;¡MUERE!;;;;;;;;;x
EVTOPTADUEL202;Aaaaargh!;Aaaaargh!;;;¡Aaaaargh!;;;;;;;;;x
EVTOPTADUEL203;Requiescat in pace.;Requiescat in pace.;;;Descansa en paz.;;;;;;;;;x
EVTOPTADUEL2;One mistake is all [FromFrom.GetSheHe]'ll get…;Une erreur c'est tout ce qu'[FromFrom.GetSheHe] aura…;;;Un fallo es todo lo que conseguirá...;;;;;;;;;x
EVTOPTADUEL301;Charge!;A mort !;;;¡A la carga!;;;;;;;;;x
EVTOPTADUEL302;Charge!;A l'assaut !;;;¡A la carga!;;;;;;;;;x
EVTOPTADUEL303;Raaagh!;Aaaaah!;;;¡Aaargh!;;;;;;;;;x
EVTOPTADUEL304;Aaargh!;Aaargh !;;;¡Aaargh!;;;;;;;;;x
EVTOPTADUEL305;Aaargh!;;;;¡Aaargh!;;;;;;;;;x
EVTOPTADUEL306;Hah! Let's see you recover from THAT!;Pouquoi ne veux-tu pas CREVER?!;;;¡Ja! ¡A ver si te recuperas de ESA!;;;;;;;;;x
EVTOPTADUEL309;Victory!;Victoire!;;;¡Victoria!;;;;;;;;;x
EVTOPTADUEL310;Curses!;Malédiction !;;;¡Maldición!;;;;;;;;;x
EVTOPTADUEL311;Such a tragedy…;Quelle tragédie…;;;¡Qué tragedia …!;;;;;;;;;x
EVTOPTADUEL312;Aaaaargh!;Aaaaargh!;;;¡Aaaaargh!;;;;;;;;;x
EVTOPTADUEL313;Curses!;Malédiction !;;;¡Maldición!;;;;;;;;;x
EVTOPTADUEL3;One mistake is all [From.GetSheHe]'ll get…;Une erreur c'est tout ce qu'[FromFrom.GetSheHe] aura…;;;Un fallo es todo lo que conseguirá...;;;;;;;;;x
EVTOPTADUEL5;Strike!;Prends ça, ordure !;;;¡Golpea!;;;;;;;;;x
EVTOPTADUEL6;Defend yourself!;Vous défendre !;;;¡Defiéndete!;;;;;;;;;x
EVTOPTADUELOUTPUT1;Victory is mine!;La victoire est mienne!;;;¡La victoria es mía!;;;;;;;;;x
EVTOPTB5556001;I need to get out of here!;Je dois foutre le camp d'ici !;;;¡Tengo que salir de aquí!;;;;;;;;;x
EVTOPTB5556002;I need to get out of here!;Je dois foutre le camp d'ici!;;;¡Tengo que salir de aquí!;;;;;;;;;x
EVTOPTBDUEL106;I'm not finished yet!;Je n'ai pas encore dit mon dernier mot!;;;¡Aún no he acabado!;;;;;;;;;x
EVTOPTBDUEL107;No mercy for the vanquished.;Pas de pitié pour les vaincus.;;;Sin piedad para los vencidos.;;;;;;;;;x
EVTOPTBDUEL301;I'll drive my lance right through [FromFrom.GetHerHis] throat…;Je vais diriger ma lance directement sur sa gorge…  ;;;Dirigiré mi lanza justo contra su garganta...;;;;;;;;;x
EVTOPTBDUEL302;I'll drive my lance right through [From.GetHerHis] throat…;Je vais directement frapper sa gorge…  ;;;Dirigiré mi lanza justo contra su garganta...;;;;;;;;;x
EVTTOOLTIP5556002;reacts;réagit;;;Reacciona;;;;;;;;;x
EVTTOOLTIP5556100;[From.GetBestName]'s death demoralizes the enemy!;La mort de [From.GetBestName] démoralise son ost !;;;¡La muerte de [From.GetBestName] desmoraliza al enemigo!;;;;;;;;;x
EVTTOOLTIP5556101;You take [From.GetBestName] prisoner.;Vous détenez [From.GetBestName] prisonnier.;;;Haces prisionero a [From.GetBestName].;;;;;;;;;x
EVTTOOLTIPDUEL106;reacts;réagit;;;reacciona;;;;;;;;;x
EVTTOOLTIPDUEL107;considers your yield;tient compte de votre reddition;;;tiene en cuenta tu rendición;;;;;;;;;x
EVTTOOLTIPDUEL108;is defeated.;est défait.;;;es vencido;;;;;;;;;x
EVTTOOLTIPDUEL109;is slain!;est tué !;;;¡es abatido!;;;;;;;;;x
EVTTOOLTIPDUEL110;You roll to dodge the final blow;Vous roulez pour éviter le coup de grâce. ;;;Ruedas para evitar el golpe de gracia.;;;;;;;;;x
EVTTOOLTIPDUEL111;reacts;réagit;;;Reacciona;;;;;;;;;x
EVTTOOLTIPDUEL112;You choose to continue fighting;Vous choisissez de continuer le combat;;;Eliges seguir luchando;;;;;;;;;x
EVTTOOLTIPDUEL202;is slain!;est tué!;;;¡es abatido!;;;;;;;;;x
EVTTOOLTIPDUEL304;is struck!;est frappé !;;;¡es golpeado!;;;;;;;;;x
EVTTOOLTIPDUEL305;You barely manage to catch his spear on your shield;;;;A duras penas bloqueas su lanza con tu escudo.;;;;;;;;;x
EVTTOOLTIPDUEL306;reacts;réagit;;;Reacciona;;;;;;;;;x
EVTTOOLTIPDUEL310;is defeated.;est défait.;;;es vencido;;;;;;;;;x
EVTTOOLTIPDUEL312;is slain!;est tué!;;;¡es abatido!;;;;;;;;;x
