#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
#### RELIGIONS;;;;;;;;;;;;;;x
#
messalian_DESC;The Messalians, or Euchites ('Those who Pray'), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy. Features:\n§Y*§! Messalians must pray to expel their personal demons\n§Y*§! Once the demons are driven out, they can achieve the status of Perfection\n§Y*§! Messalians may choose a patron saint to worship\n§Y*§! Messalians can create their own Holy Order, the Army of Lucifer\n§Y*§! The Patriarch of Antioch will automatically become the new religion head\n§Y*§! Messalians only recognize the Petrine Sees;;;;;;;;;;;;;;x
miaphysite;Coptic;;;;;;;;;;;;;;x
miaphysite_DESC;Copts are miaphysite, stressing that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Coptic Church is the Pope of Alexandria.\n§Y*§! Copts only recognize the three Petrine Sees\n§Y*§! Copts may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Copts may choose between the Alexandrite and Antiochian schools of theology;;;;;;;;;;;;;;x
monophysite_DESC;Monophysitism is an early Christian heresy which states that Christ had but a single nature. This is the opposite of the Nestorian position where Christ has two separate natures - one divine and one human. The nominal head of the Monophysite Church is the Monophysite Pope of Alexandria.\n§Y*§! Monophysites only recognize the three Petrine Sees\n§Y*§! Monophysites may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Monophysites may choose between the Alexandrite and Antiochian schools of theology;;;;;;;;;;;;;;x
nabawiyya;Nabawite;;;;;;;;;;;;;;x
nabawiyya_DESC;The Nabawites believe that the Qur'an was only the holy book for the Arabs, and that they have their own holy book and prophet, just as legitimate, sent by God for their people, modelled on Islam. They are led by a Malik, similar to the Muslim Caliph.;;;;;;;;;;;;;;x
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia, and known for its militarist attitude and emphasis on only accepting the New Testament as legitimate. Features:\n§Y*§! May declare Holy War or Crusade on anyone of a different religion, even other Christians\n§Y*§! May gain the Icon-Breaker trait after sieging a Christian temple\n§Y*§! May expend Piety to raise units of zealots during a war\n§Y*§! Paulicians only recognize the three Petrine Sees\n§Y*§! Paulicians may choose between the Alexandrite and Antiochian schools of theology;;;;;;;;;;;;;;x
qarmatian;Qarmati;;;;;;;;;;;;;;x
qarmatian_DESC;The Qarmatians are a extreme splinter sect of Isma'ili Islam, and believe that there are seven ages of man, each with a new religion and prophet, and the final age is approaching. They believe that the rest of the Isma'ilis have lost the faith, and that Muhammad son of Isma'il is still in hiding, waiting to return as the Mahdi.;;;;;;;;;;;;;;x
tondrakian;Tondrakian;;;;;;;;;;;;;;x
tondrakian_DESC;Tondrakians are an anti-feudal, anti-church sect that originally flourished in Armenia between the 9th and 11th Century. They denied the immortality of the soul, the afterlife, and the rights of the church to rule over its fellow man. They supported property rights for peasants and equality between men and women.;;;;;;;;;;;;;;x
waqifi;Waqifite;;;;;;;;;;;;;;x
waqifi_DESC;The Waqifi believe that the Imamate has ended before the main branch of Shi'ism has accepted it. To the Waqifi, the final Imam is the Mahdi who will return at the end of days, and they wait faithfully for him.;;;;;;;;;;;;;;x
zaydi;Zaydi;;;;;;;;;;;;;;x
zaydi_DESC;The Zaydis are a Shi'a group that believe that the 'Alid Imams are not infallible, but are divinely inspired and have a responsibility to lead rebellion against corrupt authority. Nor is the Imamate hereditary. Any 'Alid who rises up in rebellion can become an Imam.;;;;;;;;;;;;;;x
zurvanist;Zurvanist;;;;;;;;;;;;;;x
zurvanist_DESC;Zurvanism is a branch of Zoroastrianism that believes in the existence of Zurvan, a genderless god of of infinite time (and space), for whom there is no distinction between good and evil. Zurvan is the parent of the two opposites representing the good god, Ahura Mazda, and the evil Angra Mainyu, unlike normal Zoroastrianism, where Ahura Mazda is the Supreme Being. Zurvanism is further divided by its three schools of thought: Aesthetic, Fatalistic and Materialistic.;;;;;;;;;;;;;;x
#
#### GODS/TITLES;;;;;;;;;;;;;;x
#
GINZA_RBA;The Ginza Rba;;;;;;;;;;;;;;x
GOD_AL_HAKIM;Al-Hakim;;;;;;;;;;;;;;x
GOD_ABATHUR;Abathur;;;;;;;;;;;;;;x
GOD_ANAHITA;Anahita;;;;;;;;;;;;;;x
GOD_MITHRAS;Mithras;;;;;;;;;;;;;;x
GOD_PTAHIL;Ptahil;;;;;;;;;;;;;;x
GREAT_BAN;Great Ban;;;;;;;;;;;;;;x
GREAT_PURIFICATION;Great Purification;;;;;;;;;;;;;;x
JEHOVAH;Jehovah;;;;;;;;;;;;;;x
MAITREYA;Maitreya;;;;;;;;;;;;;;x
NASURAIIA;Nasuraiia;;;;;;;;;;;;;;x
PRESBYTERS;Presbyter;;;;;;;;;;;;;;x
PROPHET_ABRAHAM;The Prophet Abraham;;;;;;;;;;;;;;x
PROPHET_BUDDHA;The Prophet Buddha;;;;;;;;;;;;;;x
PROPHET_ENOCH;The Prophet Enoch;;;;;;;;;;;;;;x
PROPHET_JOHN_BAPTIST;John the Baptist;;;;;;;;;;;;;;x
PROPHET_NOAH;The Prophet Noah;;;;;;;;;;;;;;x
PROPHET_SETH;The Prophet Seth;;;;;;;;;;;;;;x
PHOPHET_SHEM;The Prophet Shem;;;;;;;;;;;;;;x
RADIANT_JESUS;The Radiant Jesus;;;;;;;;;;;;;;x
PROPHET_ZOROASTER;The Prophet Zoroaster;;;;;;;;;;;;;;x
RUHA_QUDSHA;Ruha Qudsha;;;;;;;;;;;;;;x
THE_EVANGELION;The Evangelion;;;;;;;;;;;;;;x
UQQAL;Uqqal;;;;;;;;;;;;;;x
#
#### EVENTS;;;;;;;;;;;;;;x
#
custom_balkans;Balkans;;;;;;;;;;;;;;x
custom_lebanon;Lebanon;;;;;;;;;;;;;;x
emf_religion.0.desc;Your reputation as a formidable raider has spread even to faraway lands. People everywhere speak the name [Root.GetFirstName] in hushed tones, fearful that in doing so they might invoke you like a vengeful god and bring ruin down upon themselves.;;;;;;;;;;;;;x
emf_religion.0.a;Let them fear me!;;;;;;;;;;;;;x
#
#### TRAITS;;;;;;;;;;;;;;x
#
raider;Raider;;;;;;;;;;;;;x
raider_desc;This character is widely known as terrifying pillager and looter.;;;;;;;;;;;;;x
COMPL_FEARSOME;fearsome;;;;;;;;;;;;;x
COMPL_PILLAGER;pillager;;;;;;;;;;;;;x
